time,open,high,low,close
1765753200,25223.5,25245.25,25170.25,25176
1765753500,25175.25,25176,25132.5,25145.75
1765753800,25146.5,25165.25,25141.25,25154
1765754100,25154,25171.25,25153.25,25165.25
1765754400,25164.75,25170,25145.75,25160.75
1765754700,25161.75,25172,25155.25,25170.5
1765755000,25170.75,25185.25,25167.5,25173.75
1765755300,25175,25185.5,25170.25,25182.5
1765755600,25182.75,25187.5,25178.5,25180
1765755900,25184.25,25184.25,25171,25179.25
1765756200,25179.5,25200,25178.5,25198.25
1765756500,25198,25199.75,25190.75,25194
1765756800,25191,25200.25,25188,25195.5
1765757100,25196.5,25213.5,25188,25209
1765757400,25209,25210.5,25197.75,25206
1765757700,25206.75,25211.25,25196,25201
1765758000,25200.75,25205.5,25190.25,25193.5
1765758300,25194.5,25211,25190,25206.75
1765758600,25207.5,25223,25207.5,25219.25
1765758900,25219.75,25220.25,25211,25212.5
1765759200,25212.75,25221.25,25211.5,25219.5
1765759500,25219,25228.5,25218,25226.5
1765759800,25225.5,25230.5,25222,25230.5
1765760100,25231,25241.75,25229.5,25234.25
1765760400,25235.5,25242,25221.75,25223.25
1765760700,25223.25,25233,25223.25,25231.25
1765761000,25230.75,25236.25,25224.25,25234
1765761300,25233.75,25238.25,25226.5,25233.25
1765761600,25234.25,25236.5,25227.25,25232.5
1765761900,25231.25,25238,25229.5,25238
1765762200,25237.25,25253.5,25237,25252.75
1765762500,25252.25,25261,25250,25256.5
1765762800,25256.5,25257.5,25242,25249.5
1765763100,25249.75,25252.25,25246.5,25250.75
1765763400,25251,25260,25250.5,25255
1765763700,25254.5,25265,25252.5,25260.75
1765764000,25260.75,25271,25260.5,25268.25
1765764300,25268.25,25273.5,25265,25268.25
1765764600,25269,25270,25263.5,25268
1765764900,25268,25277,25265,25269.5
1765765200,25268.75,25270,25255.25,25266.5
1765765500,25265.75,25276.75,25265.25,25271.5
1765765800,25273,25284.25,25272,25281.75
1765766100,25281.5,25283.75,25277,25279.75
1765766400,25280.25,25280.5,25271,25272.25
1765766700,25272.75,25276.25,25262,25266.75
1765767000,25268,25272.5,25257,25257.5
1765767300,25257.25,25263.25,25254,25262.25
1765767600,25261.5,25273.25,25261.5,25267.25
1765767900,25267.25,25269.25,25256,25261.25
1765768200,25260.25,25264.75,25250,25256.25
1765768500,25256,25257,25248.5,25252.75
1765768800,25254.75,25256.25,25244.5,25246.25
1765769100,25245.75,25252,25245.75,25249
1765769400,25248.75,25260.75,25247.25,25255.25
1765769700,25256.5,25257.25,25249.5,25252
1765770000,25251.75,25252,25245,25246.25
1765770300,25246,25258.75,25246,25252.75
1765770600,25254.25,25256.25,25252.5,25254.75
1765770900,25254.75,25255.25,25252.75,25255.25
1765771200,25255.75,25259.75,25250.5,25258.5
1765771500,25258.25,25260.25,25251,25251
1765771800,25251,25252.25,25237.75,25238.5
1765772100,25238.5,25246.5,25233.5,25236.75
1765772400,25236.25,25242.75,25233.25,25237.5
1765772700,25238,25257,25238,25252.5
1765773000,25251.5,25253,25246.5,25252
1765773300,25252,25257.25,25248.75,25255.75
1765773600,25256,25258,25251.5,25257
1765773900,25257.5,25260,25255,25257.75
1765774200,25258,25266,25256.5,25264
1765774500,25263.5,25275,25263,25269
1765774800,25269.25,25272.25,25265,25267.5
1765775100,25268.25,25270.75,25265,25267.5
1765775400,25268,25270.75,25267,25269.25
1765775700,25267,25268.25,25259,25264
1765776000,25261.75,25267.5,25254.5,25267.5
1765776300,25266.75,25270.75,25266,25268.75
1765776600,25268,25278,25263.75,25276.75
1765776900,25277,25279.25,25273.75,25274.25
1765777200,25273.75,25278.5,25270.5,25276.25
1765777500,25276,25278,25271.75,25271.75
1765777800,25273,25279.75,25269.75,25272.5
1765778100,25273.5,25282.5,25273.5,25278
1765778400,25275.75,25277.5,25259.25,25259.75
1765778700,25260.75,25262,25249.25,25252
1765779000,25250.5,25260.5,25249.5,25256
1765779300,25261.25,25270.75,25256.75,25269.25
1765779600,25269.25,25269.75,25262.5,25263.25
1765779900,25263.5,25272.25,25260.25,25264
1765780200,25262.25,25267.5,25255.25,25258
1765780500,25258.75,25265.25,25252.75,25263.5
1765780800,25263.75,25275,25261,25270
1765781100,25273.75,25279.5,25269.75,25278.5
1765781400,25278,25278.5,25269.5,25271
1765781700,25270.25,25274.25,25267.75,25274
1765782000,25274.25,25282.25,25266.5,25271
1765782300,25271.5,25276.5,25254.5,25258
1765782600,25258.25,25261.5,25252,25258.25
1765782900,25257.5,25266.25,25255,25259.25
1765783200,25258.5,25262.25,25255.75,25261.5
1765783500,25262,25262,25241.75,25246.75
1765783800,25247,25252.75,25239,25248.75
1765784100,25249.25,25258.25,25243,25244.75
1765784400,25245.5,25252,25239,25245
1765784700,25246,25247.5,25237.75,25241.5
1765785000,25240.25,25252.25,25238.75,25250.75
1765785300,25251.5,25257,25247.75,25253
1765785600,25253.5,25257.25,25242,25246
1765785900,25247.5,25262.5,25240.75,25240.75
1765786200,25241.5,25246.5,25230.25,25235.5
1765786500,25236.25,25250.75,25231,25250.5
1765786800,25249.5,25253,25240,25245.5
1765787100,25249.25,25255.25,25248.5,25251.5
1765787400,25248.75,25271,25247.25,25261
1765787700,25264.5,25274.25,25262.5,25270.75
1765788000,25271.25,25291.25,25271,25286.5
1765788300,25286.5,25290.5,25280.25,25288.25
1765788600,25287.5,25291.25,25279,25282.25
1765788900,25281,25286.25,25279,25286.25
1765789200,25284.75,25288.75,25274.75,25287
1765789500,25286.75,25291.75,25282.75,25286.25
1765789800,25284.5,25313,25282.25,25310.25
1765790100,25310.5,25317.5,25301.5,25302.75
1765790400,25303.75,25314,25298.5,25314
1765790700,25314.5,25321.25,25313.5,25314.5
1765791000,25315.5,25327,25313.75,25324.5
1765791300,25322.25,25326.5,25316,25316.75
1765791600,25315.25,25321.5,25315,25320.5
1765791900,25318.5,25325.25,25318.5,25324.75
1765792200,25324.5,25333.5,25323,25328.25
1765792500,25328.5,25332.5,25324,25325
1765792800,25324,25333,25316.5,25333
1765793100,25329.25,25332.25,25325,25326.5
1765793400,25327,25332.5,25327,25332.25
1765793700,25332,25346,25328.5,25339
1765794000,25338.75,25340.5,25330,25333
1765794300,25333.5,25343,25333,25336
1765794600,25336,25337.25,25327.25,25333
1765794900,25332,25332,25324,25327.25
1765795200,25326.5,25335.5,25324.75,25334.25
1765795500,25334.25,25337.5,25331.25,25333.25
1765795800,25333,25341.25,25331.5,25340.25
1765796100,25341,25341.25,25334.75,25338.75
1765796400,25337,25338,25331.5,25334.75
1765796700,25334.25,25338.75,25328,25338.75
1765797000,25338.25,25340.25,25332.25,25333.25
1765797300,25334.75,25337,25331,25335.75
1765797600,25336,25344.25,25335.75,25341.5
1765797900,25341.5,25352.25,25340.5,25343.75
1765798200,25346.25,25353.75,25345.25,25345.25
1765798500,25345.25,25355.75,25344.75,25354.75
1765798800,25354.5,25356.5,25349,25349.25
1765799100,25349.5,25353.5,25345,25350.5
1765799400,25350.75,25357.5,25349.75,25353
1765799700,25354,25356.5,25351.75,25354.75
1765800000,25354.5,25354.5,25348.75,25349.5
1765800300,25349.25,25352.75,25333,25336.5
1765800600,25336.25,25338,25324,25330.5
1765800900,25329.75,25340.5,25329.25,25337
1765801200,25338,25350,25336,25342.75
1765801500,25343.25,25343.5,25325.5,25332.25
1765801800,25332.75,25344,25331,25338.25
1765802100,25336.75,25337.75,25333,25336.75
1765802400,25337.25,25361.5,25334.25,25353.25
1765802700,25354.5,25355.75,25349,25351.25
1765803000,25352,25354.75,25349.75,25353
1765803300,25353.5,25353.75,25349,25352.75
1765803600,25351.25,25354,25349.5,25351
1765803900,25351,25354.25,25348.75,25353.75
