time,open,high,low,close
1259049600,293.83,294.47,291.04,292.08
1259136000,292.1,294.94,291.3,293.71
1259308800,284.03,289.41,279.28,287.69
1259568000,287.72,289.43,283.72,284.6
1259654400,284.64,292.15,284.64,292.13
1259740800,292.16,293.93,290.88,292.34
1259827200,292.36,295.92,291,291.75
1259913600,291.71,296.21,289.37,294.09
1260172800,294.12,294.12,290.31,292.36
1260259200,292.23,293.54,285.93,287.42
1260345600,287.22,288.55,283.15,285.35
1260432000,285.48,290.08,284.78,288.45
1260518400,288.46,292.72,288.46,290.85
1260777600,290.91,294.41,290.91,293.13
1260864000,293.15,294.45,290.57,293.53
1260950400,293.53,298.1,293.53,298.1
1261036800,298.08,298.09,294.61,295.16
1261123200,295.16,297.91,294.29,294.36
1261382400,294.47,299.52,294.47,299.25
1261468800,299.31,301.8,299.15,299.96
1261555200,300,302.15,299.52,300.74
1261987200,300.75,303.42,300.75,302.97
1262073600,302.97,304.13,302.85,303.37
1262160000,303.36,303.38,300.24,300.62
1262592000,300.87,305.07,300.85,305.07
1262678400,305.02,305.56,303.35,304.28
1262764800,304.29,305.08,302.62,304.37
1262851200,304.38,304.66,300.69,303.73
1262937600,303.74,305.45,301.24,304.53
1263196800,304.54,307.4,304.26,304.74
1263283200,304.74,305.55,298.94,299.84
1263369600,299.7,301.41,298.93,300.91
1263456000,301.09,303.27,300.32,302.21
1263542400,302.22,304,296.06,296.57
1263888000,298.72,302.36,295.36,301.75
1263974400,301.73,301.73,294.41,295.4
1264060800,295.52,298.34,289.88,290.12
1264147200,290.12,290.12,284.72,287.55
1264406400,287.32,287.4,283.86,284.21
1264492800,284.19,286.38,281.26,286.02
1264579200,285.83,285.83,281.25,284.02
1264665600,284.03,287.75,278.64,278.64
1264752000,278.65,284.34,278.65,281.88
1265011200,281.88,285.03,279.76,284.05
1265097600,284.05,287.53,282.56,286.8
1265184000,286.81,288.01,284.21,284.99
1265270400,285,286.19,277.48,278
1265356800,277.99,278.02,273,273.03
1265616000,273.04,276.59,273.04,275.58
1265702400,275.58,278.26,274.36,276.3
1265788800,276.31,281,276.31,278.13
1265875200,278.24,280.43,274,276.51
1265961600,276.55,279.58,274.38,276.41
1266307200,277.03,281.04,276.38,281.04
1266393600,281.17,285.45,281.17,283.73
1266480000,283.73,285.78,282.52,285.25
1266566400,285.1,287.74,282.55,287.34
1266825600,287.34,288.53,285.32,285.55
1266912000,285.57,287.73,280.37,281.34
1266998400,281.36,283.15,279.76,281.92
1267084800,281.89,283.97,277.06,277.8
1267171200,277.8,281.5,277.74,281.16
1267430400,281.42,287.18,281.42,286.98
1267516800,287.01,290.27,286.74,290.12
1267603200,290.01,292.72,288.81,292.16
1267689600,292.09,292.44,289.69,291.07
1267776000,291.12,295.34,291.12,295.24
1268035200,295.23,296.04,294.6,295.07
1268121600,295.06,296.3,293.15,295.57
1268208000,295.54,298.92,295,298.13
1268294400,298.01,298.9,296.57,297.61
1268380800,297.62,300.57,297.58,298.37
1268640000,298.25,298.75,296.11,296.38
1268726400,296.43,300.65,296.4,299.69
1268812800,299.7,302.85,299.7,302.26
1268899200,302.26,302.99,300.85,301.72
1268985600,301.73,303.4,298.87,300.13
1269244800,300.13,300.27,296.41,300.27
1269331200,300.32,302.43,299.91,301.74
1269417600,301.74,303.16,299.1,302.84
1269504000,302.85,307.82,302.67,307.49
1269590400,307.41,307.64,306.11,306.81
1269846000,306.91,309.54,306.91,308.74
1269932400,308.91,311.14,307.66,308.01
1270018800,308.03,309.04,306.31,308.6
1270105200,308.79,312.95,308.79,312.82
1270537200,312.95,314.38,311.77,313.73
1270623600,313.57,313.95,311.49,312.2
1270710000,312.19,312.19,307.85,309.48
1270796400,309.51,313.7,309.51,313.48
1271055600,313.55,315.39,312.13,313.49
1271142000,313.34,313.45,310.89,312.42
1271228400,312.55,316.25,312.55,314.97
1271314800,315.01,316.61,313.48,315.63
1271401200,315.52,316.5,309.34,310.23
1271660400,310.18,310.84,308.21,309.34
1271746800,309.38,314.83,309.1,314.62
1271833200,314.65,315.55,313,313.07
1271919600,313.07,315.87,308.56,309.94
1272006000,309.98,315.01,309.08,313.6
1272265200,313.8,317.84,313.79,317.36
1272351600,317.36,317.46,308.48,308.48
1272438000,308.44,308.59,301.51,304.72
1272524400,304.83,307.82,303.24,307.09
1272610800,307.2,309.3,303.11,305.66
1272870000,305.78,307.61,302.59,306.47
1272956400,306.56,306.84,296.51,297.07
1273042800,297.02,298.08,292.81,294.42
1273129200,294.26,295.94,289.57,290.73
1273215600,288.95,289.06,277,279.61
1273474800,279.62,294.86,279.48,294.86
1273561200,294.78,296.09,290.03,295.85
1273647600,296.03,304.58,294.13,302.96
1273734000,303.17,307.55,303.1,306.31
1273820400,306.49,306.5,294.42,296.49
1274079600,296.24,301.14,294.66,296.93
1274166000,296.95,302.66,296.95,301.42
1274252400,301.34,301.42,292.07,292.96
1274338800,293.01,295.66,282.4,286.79
1274425200,286.68,287.09,277.94,284.98
1274684400,285.05,287.17,280.24,283.92
1274770800,283.85,283.86,273.83,276.99
1274857200,277.37,285.01,277.37,281.58
1274943600,281.81,291.21,281.81,290.47
1275030000,290.57,292.05,289.41,290.35
1275375600,291.39,293.72,284.93,292.15
1275462000,292.09,292.61,286.63,292.09
1275548400,292.41,298.1,292.38,295.67
1275634800,295.71,298.59,288.52,289.86
1275894000,289.6,290.64,285.54,288.12
1275980400,288.17,289.06,282.89,286.29
1276066800,286.4,292.28,284.3,291.84
1276153200,291.8,297.16,288.92,295.55
1276239600,295.62,296.96,291.88,295.09
1276498800,295.27,299.47,295.2,298.87
1276585200,298.71,302.12,296.61,301.14
1276671600,301.32,302.71,299.38,301.77
1276758000,301.79,304.36,300.49,303.56
1276844400,303.56,305.19,301.87,303.28
1277103600,303.44,308.98,303.38,307.19
1277190000,306.77,307.24,303.36,305.95
1277276400,305.59,306.06,301.46,302.74
1277362800,302.8,304.26,297.4,298.34
1277449200,298.55,299.92,294.57,296.09
1277708400,296.41,300.94,295.87,300.36
1277794800,300.28,300.28,289.48,290.3
1277881200,290.24,292.79,289.62,290.94
1277967600,290.86,290.86,284.08,285.57
1278054000,285.59,289.71,284.39,284.46
1278399600,283.61,292.49,283.61,289.77
1278486000,289.73,292.64,285.3,292.39
1278572400,292.42,295.52,292.39,294.41
1278658800,294.44,296.5,294.44,295.85
1278918000,295.86,298.54,295.66,296.44
1279004400,296.35,302.58,296.28,302.13
1279090800,302.34,303.84,300.59,302.96
1279177200,302.92,304.81,298.89,299.97
1279263600,300.03,302.68,293.63,294.65
1279522800,294.64,296.73,292.33,293.09
1279609200,293.07,295.2,288,291.04
1279695600,291.14,295.54,291.14,292.04
1279782000,292.03,299.89,290.69,299.59
1279868400,299.52,301.98,298.12,300.83
1280127600,300.85,302.54,299.17,302.24
1280214000,302.26,305.02,301.84,302.71
1280300400,302.74,304.7,299.73,301.26
1280386800,301.26,304.54,298.76,299.26
1280473200,299.26,301.67,295.55,299.88
1280732400,299.91,306.92,299.88,306.92
1280818800,306.91,307.85,305.63,307.71
1280905200,307.7,310.34,305.57,308.81
1280991600,308.81,311.44,308.16,309.08
1281078000,309.09,311.73,304.55,305.31
1281337200,305.31,310.1,305.3,309.86
1281423600,309.87,309.9,304.75,306.65
1281510000,306.43,306.43,299.58,300.12
1281596400,300.11,301.02,297.18,299.03
1281682800,299.07,300.73,295.76,297.81
1281942000,297.84,300.12,295.44,297.85
1282028400,297.86,303.03,297.84,302.59
1282114800,302.59,303.06,300.08,301.59
1282201200,301.64,303.78,296.01,296.17
1282287600,301.8,303.77,292.44,292.71
1282546800,292.71,295.22,292.24,293.04
1282633200,293,293,286.03,289.26
1282719600,289.26,290.21,284.4,287.42
1282806000,287.42,289.85,287.3,288.1
1282892400,288.07,290.28,284.8,289.99
1283151600,289.98,291.36,287.03,288.12
1283238000,287.89,288.74,284.21,288.72
1283324400,288.88,296.79,286.34,296.56
1283410800,296.55,297.66,295.07,296.66
1283497200,296.75,301.33,296.72,299.18
1283842800,300.16,300.16,296.63,298.32
1283929200,298.29,301.41,295.63,300.63
1284015600,300.64,303.97,299.11,303.4
1284102000,303.32,303.6,301.54,303.08
1284361200,303.16,306.81,303.16,305.35
1284447600,305.38,306.61,303.88,306.02
1284534000,305.95,306.69,303.69,305.42
1284620400,305.34,306.3,303.99,304.76
1284706800,304.89,308.25,301.6,302.83
1284966000,302.83,307.3,302.83,306.94
1285052400,306.87,309.14,305.98,305.98
1285138800,305.95,307.07,301.99,302.7
1285225200,302.71,305.39,298.82,301.57
1285311600,301.62,307.53,299.55,306.99
1285570800,307.01,308.27,305.7,306.03
1285657200,306.02,307.46,301.92,305.71
1285743600,305.72,308.1,302.95,304.01
1285830000,304,308.71,301.92,303.34
1285916400,303.33,306.5,301.22,302.37
1286175600,302.41,302.5,298.27,298.56
1286262000,298.58,303.51,297.68,302.66
1286348400,302.67,306.36,302.67,305.4
1286434800,305.41,307.92,303.55,305.65
1286521200,305.66,306.51,303.66,306.28
1286780400,306.27,307.97,306.16,307.24
1286866800,307.26,307.53,303.26,306.94
1286953200,306.97,314.6,306.97,313.53
1287039600,313.53,316.08,313.53,314.48
1287126000,314.51,317.32,313.56,316.23
1287385200,316.24,318.33,314.71,317.48
1287471600,317.5,319,315.29,316.2
1287558000,316.2,318.13,314.57,317.98
1287644400,317.99,322.5,316.94,321.94
1287730800,321.99,322.5,320.7,321.61
1287990000,321.78,324.59,321.68,323.13
1288076400,323.18,323.31,320.09,321.76
1288162800,321.76,322.62,318.88,319.56
1288249200,319.57,323.19,319.57,320.76
1288335600,320.72,322.4,319.38,320.97
1288598400,320.98,324.38,320.24,321.12
1288684800,321.1,324.15,320.65,323.48
1288771200,323.48,324.91,321.02,321.68
1288857600,321.69,328.62,321.61,327.49
1288944000,327.51,329.7,326.42,328.59
1289203200,328.65,328.84,327.28,328.41
1289289600,328.42,331.46,327.67,330.37
1289376000,330.35,330.35,325.18,327
1289462400,327.01,328.48,326,327.12
1289548800,327.03,328.74,321.95,327.56
1289808000,327.55,331.47,324.9,330.38
1289894400,330.36,330.36,324.17,324.19
1289980800,324.17,326.26,323.63,325.97
1290067200,326.06,332.55,326.05,332.38
1290153600,332.4,333.45,330.44,332.88
1290412800,333.09,335.74,331.05,331.85
1290499200,331.79,332.22,326.18,326.18
1290585600,326.28,332.41,325.89,331.92
1290758400,334.67,334.68,329.49,333.01
1291017600,332.98,335.95,325.61,325.61
1291104000,325.66,328.82,323.5,325.16
1291190400,325.18,334.13,325.18,333.99
1291276800,334,338.67,332.66,338.57
1291363200,338.57,339.68,336.51,338.2
1291622400,338.2,339.38,337.06,338.45
1291708800,338.45,342.9,338.44,340.87
1291795200,340.86,341.31,338.53,339.45
1291881600,339.65,341.84,338.3,339.08
1291968000,339.24,341.99,339.13,341.44
1292227200,341.56,343.53,341.48,342.76
1292313600,342.7,342.89,341.78,342.54
1292400000,342.43,342.83,339.39,342.17
1292486400,342.04,343.02,340.91,342.53
1292572800,342.71,343.49,340.36,340.52
1292832000,340.6,344.83,340.54,342.38
1292918400,342.43,345.86,342.43,345.41
1293004800,345.38,345.67,344.84,344.87
1293091200,344.97,345.6,343.59,344.3
1293436800,344.18,344.69,338.55,339.88
1293523200,339.8,340.88,339.25,339.99
1293609600,340,341.81,339.97,341.14
1293696000,341.2,341.75,336.3,337.16
1294041600,337.16,342.99,337.16,341.33
1294128000,341.33,343.2,339.5,340.61
1294214400,340.6,340.72,334.07,338.81
1294300800,338.81,344.08,338.81,340.68
1294387200,340.68,342.28,338.68,339.17
1294646400,339.17,339.17,333.71,334.73
1294732800,334.75,339.48,334.71,339.01
1294819200,339.01,345.34,339,345.27
1294905600,345.25,346.1,343.81,345.74
1294992000,345.75,346.3,342.94,345.95
1295337600,346.02,349.9,345.82,349.34
1295424000,349.4,350.46,346.05,346.32
1295510400,346.44,346.45,342.65,343.43
1295596800,343.46,348.46,343.34,345.41
1295856000,345.41,346.78,342.19,345.48
1295942400,345.47,347.27,344.18,344.94
1296028800,344.94,349,344.94,347.34
1296115200,347.36,349.99,346.71,348.76
1296201600,348.76,349.89,346.22,346.22
1296460800,346.21,346.51,342.76,344.92
1296547200,345.01,350.43,345.01,350.15
1296633600,350.19,352.05,348.88,349.93
1296720000,349.93,350.76,347.96,350.49
1296806400,350.51,352.18,350.16,351.65
1297065600,351.66,355.14,351.49,354.96
1297152000,354.97,357.13,354.51,357.05
1297238400,357.07,358.42,356.42,356.94
1297324800,356.92,357.95,354.41,357.92
1297411200,357.91,360.38,355.1,359.41
1297670400,359.43,362.03,359.42,360.59
1297756800,360.67,361.76,359.33,360.48
1297843200,360.5,362.48,360.46,361.3
1297929600,361.31,362.31,358.79,360.83
1298016000,360.87,361.83,359.5,361.83
1298361600,356.65,358.04,353.6,356.45
1298448000,356.44,356.44,349.68,350.22
1298534400,350.2,350.21,344.91,346.73
1298620800,346.73,349.9,346.72,349.48
1298880000,349.5,355.32,347.7,353.67
1298966400,353.74,357.77,349.77,351.2
1299052800,351.17,351.18,346.22,349.17
1299139200,349.21,354.67,349.19,351.26
1299225600,351.28,355.52,347.91,348.99
1299484800,348.97,353.44,346.44,348.17
1299571200,348.19,351.07,343.76,348.32
1299657600,348.34,350.82,345.53,346.62
1299744000,346.28,346.29,341.18,343.18
1299830400,343.08,343.09,338.29,339.26
1300089600,339.21,340.2,332.61,333.52
1300176000,333.33,333.33,314.74,322.89
1300262400,323,327.1,315.74,316.37
1300348800,316.44,325.2,316.44,323.44
1300435200,323.53,328.55,323.47,323.85
1300694400,323.96,332.01,323.96,331.25
1300780800,331.23,331.81,328.72,329.48
1300867200,329.5,330.67,326.45,330.55
1300953600,330.56,337.36,329.69,336.95
1301040000,337.05,339.47,336.29,337.56
1301295600,337.45,339.11,335.87,337.31
1301382000,337.43,338.34,333.77,337.02
1301468400,337.26,343.3,337.21,342.87
1301554800,342.88,343.97,341.99,342
1301641200,342.08,349.34,342.07,348.71
1301900400,348.74,349.87,348.27,348.6
1301986800,348.65,349.21,346.42,348.65
1302073200,348.69,351.92,347.79,350.57
1302159600,350.48,351.81,348.62,348.81
1302246000,349,351.47,349,350.65
1302505200,350.64,351.08,347.6,349.84
1302591600,349.61,349.66,344,344.69
1302678000,344.91,349.53,344.79,348.37
1302764400,348.36,348.36,343.64,345.95
1302850800,345.98,348.09,345.82,347.33
1303110000,347.34,347.51,338.22,339.79
1303196400,339.86,342.41,339.86,340.48
1303282800,340.57,351.3,340.57,350.69
1303369200,350.77,352.64,350.77,351.64
1303801200,351.64,354.94,350.82,354.76
1303887600,354.73,358.63,354.73,357.39
1303974000,357.72,361.11,357.7,360.86
1304060400,360.96,362.76,360.27,362.73
1304319600,363.05,366.19,362.7,362.7
1304406000,362.77,362.8,358.61,361.39
1304492400,361.39,362.71,353.96,354.88
1304578800,354.85,356.18,349.68,353.87
1304665200,353.88,357.97,351.35,357.56
1304924400,357.55,357.55,351.01,352.52
1305010800,352.55,358.51,352.55,356.93
1305097200,356.93,359.98,355.28,356.48
1305183600,356.21,356.3,349.73,353.82
1305270000,353.74,355.13,349.34,349.94
1305529200,349.82,349.85,344.22,349.12
1305615600,349.09,349.09,342.76,342.93
1305702000,343.28,346.95,343.05,345.03
1305788400,345.14,350.41,345.14,347.66
1305874800,347.7,350.17,341.41,343.29
1306134000,343.11,343.11,335.54,336.29
1306220400,337.16,340.61,337.16,337.79
1306306800,337.68,339.41,334.02,338.79
1306393200,338.84,340.4,334.17,335.45
1306479600,335.54,339.58,335.27,337.55
1306825200,337.98,344.97,337.98,343.69
1306911600,343.81,344.7,338.97,340.03
1306998000,340.01,340.01,333.32,333.32
1307084400,333.39,335.57,330.98,335.04
1307343600,334.98,335.73,332.77,333.8
1307430000,334.29,336.75,333.91,334.61
1307516400,334.5,334.5,329.4,332.6
1307602800,332.62,338.49,331.54,337.31
1307689200,337.12,338.48,332.29,333.13
1307948400,333.23,335.58,331.7,333.76
1308034800,335.34,340.72,335.34,339.48
1308121200,338.9,339.29,334.33,335.34
1308207600,334.16,335.27,330.83,335.23
1308294000,334.38,340.63,331.76,337.8
1308553200,336.37,337.52,333.01,337.17
1308639600,338.57,343.65,338.52,343.65
1308726000,344.04,344.81,342.6,343.41
1308812400,342.8,342.8,335.88,337.33
1308898800,338.62,343.31,335.22,336.28
1309158000,335.87,337.31,334.28,335.55
1309244400,336.28,339.18,333.93,338.42
1309330800,338.48,345.42,338.48,344.31
1309417200,344.28,348.28,343.9,348.21
1309503600,348.15,351.38,347.26,350.26
1309849200,351.25,353.11,350.79,351.37
1309935600,351.38,351.93,349.4,351.05
1310022000,351.44,354.97,351.44,353.08
1310108400,353.76,355.58,349.16,349.76
1310367600,349.73,349.73,339.51,341.43
1310454000,340.85,340.97,330.29,338.84
1310540400,338.83,343.92,338.42,343.31
1310626800,342.94,343.22,339.99,340.88
1310713200,340.08,342.69,337.35,341.04
1310972400,340.85,340.85,334.98,335.8
1311058800,336.25,341.91,336.25,339.95
1311145200,340.95,343.26,338.78,341.25
1311231600,341.76,346.1,337.54,344.36
1311318000,345.31,347.61,343.36,346.19
1311577200,346.08,348.14,342.94,347.13
1311663600,347.71,348.92,345.11,347.3
1311750000,347.3,347.3,340.82,342.57
1311836400,341.92,341.92,335.69,339.35
1311922800,338.21,339.39,333.35,337.89
1312182000,338.56,343.82,328.37,328.37
1312268400,327.15,327.35,319.48,320.64
1312354800,320.05,320.05,308.47,313.1
1312441200,313.8,317.33,301.32,302.4
1312527600,302.24,303.44,290.71,293.92
1312786800,293.28,295.62,278.92,278.94
1312873200,277.91,283.77,259.12,278.75
1312959600,278.85,286.66,261.02,264.12
1313046000,264.18,274.3,258.51,272.98
1313132400,272.29,283.7,267.47,282.51
1313391600,283.88,287.65,283.09,283.72
1313478000,283.14,283.14,275.49,282.26
1313564400,281.05,283.38,276.32,280.07
1313650800,278.94,278.94,260.42,263.59
1313737200,263.55,263.55,251.23,257.56
1313996400,256.64,262.87,254.14,257.32
1314082800,257.53,265.03,256.22,260.02
1314169200,260.85,270.01,259.24,267.24
1314255600,267.6,271.8,256.74,262.68
1314342000,262.62,262.78,254.06,260.31
1314601200,260.98,268.84,260.98,266.78
1314687600,267.42,269.65,262.3,265.63
1314774000,265.77,276.35,265.77,272.36
1314860400,272.51,272.83,265.28,269.63
1314946800,268.22,268.22,258.36,260.35
1315292400,246.33,250.43,241.68,243.79
1315378800,244.03,253.92,244,253.91
1315465200,253.91,257.09,249.59,254.05
1315551600,253.07,253.31,242.54,243.28
1315810800,242.88,242.96,232.59,237.5
1315897200,237.9,244.77,232.97,242.25
1315983600,240.93,250.8,239.38,250.5
1316070000,251.74,261.11,251.74,258.29
1316156400,258.7,265.2,258.7,261.46
1316415600,260.3,260.3,251.35,253.8
1316502000,252.8,261.48,251.77,261.24
1316588400,260.97,260.97,253.99,254.76
1316674800,254.06,254.06,240.6,241.91
1316761200,242.76,245,232.87,243.56
1317020400,243.9,253.79,239.87,250.47
1317106800,251.21,264.61,251.21,264.19
1317193200,263.68,267.53,259.22,261.93
1317279600,261.91,268.02,259.85,265.05
1317366000,264.7,264.7,255.68,258.43
1317625200,255.76,255.76,248.36,252.46
1317711600,250.2,250.2,240.38,244.69
1317798000,247.08,257.5,247.08,256.96
1317884400,258.5,265.48,257.01,265.48
1317970800,265.34,270.33,263.6,266.9
1318230000,267.88,276.31,265.84,275.16
1318316400,274.48,276.81,271.59,275.95
1318402800,275.6,283.41,272.78,282.22
1318489200,282.2,284.11,276.67,278.37
1318575600,278.78,284.23,276.95,280.89
1318834800,281.1,286.48,273.92,275.82
1318921200,275.43,278.02,270.43,276.61
1319007600,276.78,281.24,276.45,278.24
1319094000,277.73,278.07,270.52,271.11
1319180400,272,281.16,271.44,280.82
1319439600,281.97,285.51,279.33,284.99
1319526000,283.81,289.85,280.96,284.61
1319612400,284.29,289.22,280.23,283.14
1319698800,283.16,299.14,283.16,298.73
1319785200,299.19,303.21,297.18,299.16
1320048000,298.02,298.02,289.29,289.29
1320134400,285.25,285.25,271.29,274.7
1320220800,285.25,285.25,271.28,280.95
1320307200,280.66,291.82,274.76,288.94
1320393600,289.84,290.91,279.16,280.87
1320652800,280.86,283.98,274.69,279.25
1320739200,279.95,286.83,279.55,280.88
1320825600,283.07,285.38,271.67,274.54
1320912000,272.72,279.65,269.48,276.33
1320998400,276.34,285.76,275.75,285.39
1321257600,286.47,288.04,279.55,281.87
1321344000,280.33,282.98,273.91,279.39
1321430400,278.67,283.81,275.6,278.49
1321516800,277.89,278.81,272.14,275.46
1321603200,274.43,277.76,271.62,273.2
1321862400,272.27,272.27,263.5,263.88
1321948800,264.72,267.53,260.69,260.69
1322035200,259.69,263.07,256.79,256.79
1322208000,255.61,260.2,252.5,258.5
1322467200,260.31,271.23,260.31,270.79
1322553600,270.24,274.69,268.16,273.41
1322640000,272.6,289.15,269.85,287.2
1322726400,286.91,288.1,283.67,284.54
1322812800,286,290.89,285.55,286.74
1323072000,287.93,290.86,287.13,288
1323158400,286.8,287.36,283.18,284.4
1323244800,286,289.6,279.13,282.66
1323331200,283.84,286.31,276.57,276.86
1323417600,275.5,283.12,273.46,282.24
1323676800,281.65,281.65,272.62,272.62
1323763200,272.62,275.75,270.19,272.04
1323849600,271.4,271.8,267.14,267.14
1323936000,267.78,272.9,267.5,269.69
1324022400,269.81,271.74,267.94,268.27
1324281600,268.23,271.75,265.64,266.82
1324368000,266.83,275.29,265.33,275.29
1324454400,276.79,280.97,271.75,272.68
1324540800,273.41,277.19,273.41,275.53
1324627200,276.65,278.42,275.17,276.78
1324972800,277.22,279,276.76,277.33
1325059200,277.13,277.85,271.61,271.61
1325145600,271.76,275.23,271.76,275.23
1325232000,275.66,277.64,273.75,277.64
1325577600,286.19,290.83,286.19,290.34
1325664000,289.76,290.16,286.57,287.69
1325750400,287.93,288.52,284.26,286.95
1325836800,287,289.54,283.14,285.11
1326096000,285.11,286.01,281.89,283.14
1326182400,283.25,291.53,283.25,290.21
1326268800,290.17,291.15,287.58,289.83
1326355200,290.09,295.01,289.77,291.17
1326441600,291.4,294.29,285.69,289.5
1326787200,293.14,299.02,293.14,298.52
1326873600,298.56,301.68,296.07,299.47
1326960000,299.61,302.85,298.46,302.61
1327046400,302.53,303.17,300.37,301.91
1327305600,301.74,304.65,299.15,303.24
1327392000,301.74,304.65,298.54,302.29
1327478400,301.74,304.65,298.54,301.24
1327564800,301.74,307.84,298.54,306.86
1327651200,306.61,308.53,304.33,305.61
1327910400,305.16,305.16,301.01,302.37
1327996800,302.98,306.64,302.67,303.08
1328083200,303.67,311.2,303.67,310.67
1328169600,311.02,313.09,310.13,312.51
1328256000,312.42,317.95,311.58,317.91
1328515200,317.67,318.56,315.41,317.76
1328601600,317.85,318.9,313.82,317.2
1328688000,317.22,320.79,316.39,316.98
1328774400,316.96,321.15,316.96,318.9
1328860800,318.66,318.66,312.25,314.31
1329120000,314.77,318.05,314.77,316.47
1329206400,316.21,318.84,314.56,315.92
1329292800,317.13,320.73,316.3,317.3
1329379200,316.96,317.03,312.25,317.03
1329465600,318.06,323.01,318.06,321.68
1329811200,326.51,327.57,322.88,324.46
1329897600,324.55,324.78,320.37,321.47
1329984000,321.52,324.14,316.33,319.95
1330070400,320.1,323.91,320.1,322.76
1330329600,322.72,323.08,317.34,322.22
1330416000,322.24,324.55,320.33,324.03
1330502400,324.2,327.71,321.8,322.41
1330588800,322.33,326.73,320.58,326.33
1330675200,326.35,326.97,324.58,325.38
1330934400,324.98,324.98,320.24,322.68
1331020800,322.65,322.65,311.5,311.5
1331107200,311.47,313.81,310.54,313.31
1331193600,314.45,321.3,314.45,321.16
1331280000,321.4,324.86,320.95,323.33
1331539200,323.14,324.89,321.76,324.29
1331625600,324.95,329.9,324.95,328.76
1331712000,329.29,333.75,329.29,332.86
1331798400,332.67,336.26,332.56,335.95
1331884800,335.95,338.19,335.83,336.48
1332144000,336.49,336.49,333.48,336.25
1332230400,336.04,336.04,330.37,331.39
1332316800,331.99,334.21,329.42,332.24
1332403200,331.9,332.5,326.18,328.31
1332489600,328.31,330.52,324.94,329.03
1332745200,329.07,333.92,327.76,332.79
1332831600,333.06,336.35,332.61,332.77
1332918000,332.67,334.24,328.93,328.93
1333004400,328.83,328.83,321.45,323.08
1333090800,323.14,327.18,323.14,326.54
1333350000,326.68,331.64,325.04,331.64
1333436400,331.76,332.78,328.04,328.04
1333522800,327.88,327.88,318.25,318.72
1333609200,318.83,319.88,313.03,317.34
1334041200,316.83,316.83,309.34,309.34
1334127600,309.25,314.94,309.24,312.69
1334214000,313.17,316.78,311.64,315.92
1334300400,316.02,316.02,307.09,308.47
1334559600,308.21,312.78,306.84,310.41
1334646000,310.37,318.56,309.87,318.56
1334732400,318.43,319.05,314.69,315.35
1334818800,315.61,318.58,312.07,312.31
1334905200,311.73,315.9,310.91,315.43
1335164400,315.41,315.41,303.52,304.58
1335250800,304.88,308.29,303.84,307.64
1335337200,307.74,314.3,307.74,313.03
1335423600,313.01,315.4,310.52,314.78
1335510000,313.94,318.44,310.26,317.27
1335769200,317.39,317.96,313.33,313.33
1335942000,313.51,318.56,308.68,310.79
1336028400,310.8,314.56,307.96,310.09
1336114800,310.12,310.12,301.91,302.64
1336374000,302.55,303.37,295.42,302.96
1336460400,302.9,303.2,295.79,297.09
1336546800,297.09,299.98,294.06,298.61
1336633200,298.62,300.57,295.58,299.07
1336719600,299.02,302.04,295.9,301.64
1336978800,301.58,301.58,293.54,295.64
1337065200,295.66,298.28,291.12,293.25
1337151600,293.23,295.08,288.45,292.37
1337238000,292.49,292.98,287.45,288.15
1337324400,287.81,289.28,284.47,286.37
1337583600,286.47,290.65,285.23,289.15
1337670000,289.49,294.58,289.49,294.07
1337756400,293.54,293.54,285.89,287.12
1337842800,287.15,289.52,284.74,287.95
1337929200,287.83,291.07,285.2,287.9
1338274800,287.75,292.82,287.75,290.79
1338361200,290.52,290.52,284.44,285.45
1338447600,285.49,287.32,282.12,284.63
1338534000,284.65,284.65,272.49,274.47
1338793200,274.02,274.02,269.5,271.08
1338879600,271.12,272.57,268.14,270.68
1338966000,270.89,276.78,270.89,276.42
1339052400,276.58,282.67,276.58,278.68
1339138800,278.02,278.52,274.5,277.87
1339398000,277.97,285.18,277.97,278.42
1339484400,278.09,281.56,275.74,279.2
1339570800,279.61,281.85,276,278.71
1339657200,278.57,279.28,275.22,277.92
1339743600,277.98,283.12,277.98,282.05
1340002800,282.22,285.96,281.72,282.86
1340089200,283.08,288.7,282.28,288.18
