time,open,high,low,close
1259535600,9081.52,9353.74,9081.52,9345.55
1259622000,9345.55,9572.2,9233.2,9572.2
1259708400,9572.2,9643.32,9514.15,9608.94
1259794800,9608.94,9977.67,9608.94,9977.67
1259881200,9977.67,10022.59,9902.83,10022.59
1260140400,10022.59,10204.58,10022.59,10167.6
1260226800,10167.6,10167.6,10079.81,10140.47
1260313200,10140.47,10140.47,9985.97,10004.72
1260399600,10004.72,10035.92,9834.22,9862.82
1260486000,9862.82,10107.87,9862.82,10107.87
1260745200,10107.87,10126.61,10009.6,10105.68
1260831600,10105.68,10111.76,10033.9,10083.48
1260918000,10083.48,10222.22,10083.48,10177.41
1261004400,10177.41,10260.12,10163.8,10163.8
1261090800,10163.8,10163.8,10027.85,10142.05
1261350000,10142.05,10215.49,10142.05,10183.47
1261436400,10183.47,10378.03,10183.47,10378.03
1261609200,10378.03,10558.41,10378.03,10536.92
1261695600,10536.92,10546.97,10476.65,10494.71
1261954800,10494.71,10652.99,10494.71,10634.23
1262041200,10634.23,10683.12,10597.41,10638.06
1262127600,10638.06,10707.51,10546.44,10546.44
1262559600,10546.44,10694.49,10546.44,10654.79
1262646000,10654.79,10791.04,10654.79,10681.83
1262732400,10681.83,10768.61,10661.17,10731.45
1262818800,10731.45,10774,10636.67,10681.66
1262905200,10681.66,10816.45,10677.56,10798.32
1263250800,10798.32,10905.39,10763.68,10879.14
1263337200,10879.14,10879.14,10729.86,10735.03
1263423600,10735.03,10909.94,10735.03,10907.68
1263510000,10907.68,10982.1,10878.83,10982.1
1263769200,10982.1,10982.1,10781.03,10855.08
1263855600,10855.08,10866.83,10749.47,10764.9
1263942000,10764.9,10860.93,10724.57,10737.52
1264028400,10737.52,10886.64,10649.84,10868.41
1264114800,10868.41,10868.41,10528.33,10590.55
1264374000,10590.55,10590.55,10414.58,10512.69
1264460400,10512.69,10566.49,10324.98,10325.28
1264546800,10325.28,10373.82,10252.08,10252.08
1264633200,10252.08,10462.7,10252.08,10414.29
1264719600,10414.29,10414.29,10198.04,10198.04
1264978800,10198.04,10224.83,10129.91,10205.02
1265065200,10205.02,10396.48,10205.02,10371.09
1265151600,10371.09,10436.52,10356.03,10404.33
1265238000,10404.33,10438.41,10279.57,10355.98
1265324400,10355.98,10355.98,10036.33,10057.09
1265583600,10057.09,10063.53,9942.05,9951.82
1265670000,9951.82,9956.79,9867.39,9932.9
1265756400,9932.9,10049.87,9932.9,9963.99
1265929200,9963.99,10099.46,9963.99,10092.19
1266188400,10092.19,10119.47,10012.53,10013.3
1266274800,10013.3,10062.27,10013.3,10034.25
1266361200,10034.25,10306.83,10034.25,10306.83
1266447600,10306.83,10340.38,10285.05,10335.69
1266534000,10335.69,10354.42,10123.58,10123.58
1266793200,10123.58,10449.75,10123.58,10400.47
1266879600,10400.47,10400.47,10280.33,10352.1
1266966000,10352.1,10352.1,10129.65,10198.83
1267052400,10198.83,10267.43,10087.21,10101.96
1267138800,10101.96,10171.22,10085.13,10126.03
1267398000,10126.03,10215.15,10116.86,10172.06
1267484400,10172.06,10238.96,10150.3,10221.84
1267570800,10221.84,10274.09,10186.68,10253.14
1267657200,10253.14,10263.48,10134.37,10145.72
1267743600,10145.72,10376.41,10145.72,10368.96
1268002800,10368.96,10586.97,10368.96,10585.92
1268089200,10585.92,10593.27,10542.81,10567.65
1268175600,10567.65,10588.69,10547.34,10563.92
1268262000,10563.92,10664.95,10563.92,10664.95
1268348400,10664.95,10777.49,10664.95,10751.26
1268604000,10751.26,10808.84,10708.97,10751.98
1268690400,10751.98,10776.52,10716.2,10721.71
1268776800,10721.71,10864.3,10721.71,10846.98
1268863200,10846.98,10846.98,10731.66,10744.03
1268949600,10744.03,10826.76,10744.03,10824.72
1269295200,10824.72,10824.72,10766.65,10774.15
1269381600,10774.15,10880.62,10769.18,10815.03
1269468000,10815.03,10872.45,10808.71,10828.85
1269554400,10828.85,11001.59,10828.85,10996.37
1269813600,10996.37,10996.37,10901.2,10986.47
1269900000,10986.47,11108.82,10986.47,11097.14
1269986400,11097.14,11147.62,11085.55,11089.94
1270072800,11089.94,11272.73,11089.94,11244.4
1270159200,11244.4,11313.98,11235.98,11286.09
1270418400,11286.09,11408.17,11286.09,11339.3
1270504800,11339.3,11358.45,11217.25,11282.32
1270591200,11282.32,11350.57,11260.42,11292.83
1270677600,11292.83,11292.83,11159.45,11168.2
1270764000,11168.2,11204.87,11148.8,11204.34
1271023200,11204.34,11351.55,11204.34,11251.9
1271109600,11251.9,11251.9,11088.48,11161.23
1271196000,11161.23,11270.2,11161.01,11204.9
1271282400,11204.9,11316.66,11204.9,11273.79
1271368800,11273.79,11273.79,11084.72,11102.18
1271628000,11102.18,11102.18,10878.99,10908.77
1271714400,10908.77,10999.57,10890.82,10900.68
1271800800,10900.68,11093.3,10900.68,11090.05
1271887200,11090.05,11090.05,10866.23,10949.09
1271973600,10949.09,10967.12,10865.92,10914.46
1272232800,10914.46,11165.79,10914.46,11165.79
1272319200,11165.79,11213.45,11108.72,11212.66
1272405600,11212.66,11212.66,10882.4,10924.79
1272578400,10924.79,11092.52,10924.79,11057.4
1273096800,11057.4,11057.4,10682.61,10695.69
1273183200,10695.69,10695.69,10257.32,10364.59
1273442400,10364.59,10540.52,10362.34,10530.7
1273528800,10530.7,10643.28,10392.47,10411.1
1273615200,10411.1,10501.72,10345.19,10394.03
1273701600,10394.03,10638.23,10394.03,10620.55
1273788000,10620.55,10620.55,10390.77,10462.51
1274047200,10462.51,10462.51,10158.3,10235.76
1274133600,10235.76,10336.53,10197.74,10242.64
1274220000,10242.64,10242.64,10041.93,10186.84
1274306400,10186.84,10186.84,9999.59,10030.31
1274392800,10030.31,10030.31,9696.63,9784.54
1274652000,9784.54,9793.46,9693.07,9758.4
1274738400,9758.4,9758.4,9432.09,9459.89
1274824800,9459.89,9622.4,9459.89,9522.66
1274911200,9522.66,9642.16,9395.29,9639.72
1274997600,9639.72,9824.85,9639.72,9762.98
1275256800,9762.98,9831.73,9728.42,9768.7
1275343200,9768.7,9768.7,9658.44,9711.83
1275429600,9711.83,9763.41,9560.16,9603.24
1275516000,9603.24,9920.18,9603.24,9914.19
1275602400,9914.19,9962.42,9868.09,9901.19
1275861600,9901.19,9901.19,9502.62,9520.8
1275948000,9520.8,9587.65,9434.81,9537.94
1276034400,9537.94,9537.94,9378.23,9439.13
1276120800,9439.13,9544.04,9437.47,9542.65
1276207200,9542.65,9764.73,9542.65,9705.25
1276466400,9705.25,9882.05,9705.25,9879.85
1276552800,9879.85,9911.73,9826.44,9887.89
1276639200,9887.89,10109.86,9887.89,10067.15
1276725600,10067.15,10067.15,9989.21,9999.4
1276812000,9999.4,10029.11,9965.16,9995.02
1277071200,9995.02,10251.9,9995.02,10238.01
1277157600,10238.01,10238.01,10105.48,10112.89
1277244000,10112.89,10112.89,9912.8,9923.7
1277330400,9923.7,10009.37,9893.75,9928.34
1277416800,9928.34,9928.34,9697.87,9737.48
1277676000,9737.48,9762.23,9679.17,9693.94
1277762400,9693.94,9760.02,9548.98,9570.67
1277848800,9570.67,9570.67,9347.07,9382.64
1277935200,9382.64,9382.64,9147.68,9191.6
1278021600,9191.6,9259.14,9160.47,9203.71
1278280800,9203.71,9282.9,9203.71,9266.78
1278367200,9266.78,9351.11,9091.7,9338.04
1278453600,9338.04,9338.04,9223.8,9279.65
1278540000,9279.65,9545.99,9279.65,9535.74
1278626400,9535.74,9610.59,9516.97,9585.32
1278885600,9585.32,9632.89,9533.56,9548.11
1278972000,9548.11,9629.98,9502.24,9537.23
1279058400,9537.23,9807.36,9537.23,9795.24
1279144800,9795.24,9795.24,9667,9685.53
1279231200,9685.53,9685.53,9392.21,9408.36
1279576800,9408.36,9408.36,9247.76,9300.46
1279663200,9300.46,9404.07,9230.84,9278.83
1279749600,9278.83,9278.83,9176.12,9220.88
1279836000,9220.88,9474.11,9220.88,9430.96
1280095200,9430.96,9561.82,9430.96,9503.66
1280181600,9503.66,9541.59,9487.65,9496.85
1280268000,9496.85,9760.31,9496.85,9753.27
1280354400,9753.27,9753.27,9648.97,9696.02
1280440800,9696.02,9696.02,9505.64,9537.3
1280700000,9537.3,9676.41,9537.3,9570.31
1280786400,9570.31,9750.88,9570.31,9694.01
1280872800,9694.01,9694.01,9474.67,9489.34
1280959200,9489.34,9688.87,9489.34,9653.92
1281045600,9653.92,9658.04,9545.41,9642.12
1281304800,9642.12,9642.12,9523.63,9572.49
1281391200,9572.49,9667.04,9505.34,9551.05
1281477600,9551.05,9551.05,9283.6,9292.85
1281564000,9292.85,9292.85,9065.94,9212.59
1281650400,9212.59,9278.46,9163.25,9253.46
1281909600,9253.46,9253.46,9095.94,9196.67
1281996000,9196.67,9196.67,9084.24,9161.68
1282082400,9161.68,9280.59,9153.42,9240.54
1282168800,9240.54,9362.68,9240.54,9362.68
1282255200,9362.68,9362.68,9169.17,9179.38
1282514400,9179.38,9179.38,9090.96,9116.69
1282600800,9116.69,9116.69,8983.52,8995.14
1282687200,8995.14,8995.14,8807.41,8845.39
1282773600,8845.39,8910.62,8834.09,8906.48
1282860000,8906.48,9021.75,8810.46,8991.06
1283119200,8991.06,9280.7,8991.06,9149.26
1283205600,9149.26,9149.26,8819.26,8824.06
1283292000,8824.06,8932.15,8796.45,8927.02
1283378400,8927.02,9083.37,8927.02,9062.84
1283464800,9062.84,9141.09,9050.83,9114.13
1283724000,9114.13,9303,9114.13,9301.32
1283810400,9301.32,9311.02,9206.81,9226
1283896800,9226,9226,8997.63,9024.6
1283983200,9024.6,9136.26,9024.6,9098.39
1284069600,9098.39,9291.5,9098.39,9239.17
1284328800,9239.17,9390.9,9239.17,9321.82
1284415200,9321.82,9330.05,9258.18,9299.31
1284501600,9299.31,9578.53,9199.08,9516.56
1284588000,9516.56,9620.9,9479.63,9509.5
1284674400,9509.5,9643.28,9509.5,9626.09
1285020000,9626.09,9704.25,9579.83,9602.11
1285106400,9602.11,9625.41,9546.82,9566.32
1285279200,9566.32,9601.77,9415.96,9471.67
1285538400,9471.67,9613.47,9471.67,9603.14
1285624800,9603.14,9603.14,9471.35,9495.76
1285711200,9495.76,9600.93,9495.76,9559.38
1285797600,9559.38,9566.84,9369.35,9369.35
1285884000,9369.35,9470.36,9358.62,9404.23
1286143200,9404.23,9508.36,9358.82,9381.06
1286229600,9381.06,9538.35,9332.19,9518.76
1286316000,9518.76,9693.74,9518.76,9691.43
1286402400,9691.43,9716.92,9649.17,9684.81
1286488800,9684.81,9684.81,9588.88,9588.88
1286834400,9588.88,9650.2,9387.73,9388.64
1286920800,9388.64,9510.19,9388.64,9403.51
1287007200,9403.51,9614.44,9403.51,9583.51
1287093600,9583.51,9583.51,9478.64,9500.25
1287352800,9500.25,9564.85,9471.48,9498.49
1287439200,9498.49,9575.14,9489.68,9539.45
1287525600,9539.45,9539.45,9316.97,9381.6
1287612000,9381.6,9479.25,9326.78,9376.48
1287698400,9376.48,9457.62,9376.48,9426.71
1287957600,9426.71,9460.7,9392.68,9401.16
1288044000,9401.16,9455.04,9362.13,9377.38
1288130400,9377.38,9453.79,9329.86,9387.03
1288216800,9387.03,9413.68,9350.44,9366.03
1288303200,9366.03,9366.03,9179.15,9202.45
