time,open,high,low,close
1345442400,144.2,144.2,141.73,141.88
1345528800,141.88,141.96,141.25,141.81
1345615200,141.81,142.85,141.6,142.74
1345701600,142.74,143.69,142.68,143.52
1345788000,143.52,144.1,143.4,143.72
1346047200,143.72,143.96,143.53,143.73
1346133600,143.73,144.02,143.59,143.79
1346220000,143.79,144.34,143.37,143.56
1346306400,143.56,144.23,143.56,144.07
1346392800,144.07,144.28,143.16,144.01
1346652000,144.01,144.13,143.44,143.7
1346738400,143.7,143.7,143,143.36
1346824800,143.36,143.88,142.8,142.97
1346911200,142.97,142.97,140.1,140.26
1346997600,140.26,140.74,139.41,140.39
1347256800,140.39,140.9,140.11,140.67
1347343200,140.67,140.95,140.31,140.34
1347429600,140.34,140.44,139.22,139.58
1347516000,139.58,140.45,139.46,140.19
1347602400,140.19,140.19,138.59,138.71
1347861600,138.71,139.13,138.4,138.9
1347948000,138.9,139.65,138.9,139.36
1348034400,139.36,139.93,139.03,139.49
1348120800,139.49,140.33,139.49,139.93
1348207200,139.93,140.19,139.59,140.14
1348466400,140.14,140.47,139.94,140.37
1348552800,140.37,140.93,139.95,140.67
1348639200,140.67,141.71,140.61,141.69
1348725600,141.69,141.7,141.28,141.43
1348812000,141.43,141.93,141.35,141.45
1349071200,141.45,141.66,141.11,141.61
1349157600,141.61,141.67,141.09,141.53
1349244000,141.53,141.89,141.43,141.75
1349330400,141.75,141.78,141.12,141.35
1349416800,141.35,141.52,140.7,141
1349676000,141,141.43,140.86,141.34
1349762400,141.34,141.56,141.04,141.43
1349848800,141.43,141.51,141.01,141.47
1349935200,141.47,141.88,140.97,141.39
1350021600,141.39,141.89,141.2,141.65
1350280800,141.65,141.81,141.38,141.43
1350367200,141.43,141.44,140.62,140.77
1350453600,140.77,140.77,139.56,139.59
1350540000,139.59,140.11,139.48,139.76
1350626400,139.76,140.46,139.7,140.43
1350885600,140.43,140.43,139.67,139.83
1350972000,139.83,140.48,139.83,140.33
1351058400,140.33,140.63,140.12,140.5
1351144800,140.5,140.5,139.87,140.29
1351231200,140.29,141.14,140.29,141.03
1351494000,141.03,141.86,141.02,141.78
1351580400,141.78,141.97,141.34,141.6
1351666800,141.6,141.84,141.17,141.8
1351753200,141.8,141.81,141.45,141.6
1351839600,141.6,142,141.38,141.92
1352098800,141.92,142.26,141.92,142.04
1352185200,142.04,142.28,141.64,141.76
1352271600,141.76,142.86,141.76,142.7
1352358000,142.7,143.15,142.56,143.14
1352444400,143.14,143.45,142.93,143.28
1352703600,143.28,143.28,143.02,143.18
1352790000,143.18,143.46,142.98,143.35
1352876400,143.35,143.39,142.81,143.32
1352962800,143.32,143.35,142.9,143.24
1353049200,143.24,143.43,142.99,143.22
1353308400,143.22,143.22,142.86,142.93
1353394800,142.93,143.2,142.32,142.34
1353481200,142.34,142.62,142.11,142.26
1353567600,142.26,142.26,142.02,142.17
1353654000,142.17,142.46,142,142.08
1353913200,142.08,142.48,142.08,142.24
1353999600,142.24,142.34,141.83,142.27
1354086000,142.27,143.14,142.27,142.82
1354172400,142.82,143,142.62,142.86
1354258800,142.86,143.1,142.7,142.9
1354518000,142.9,143.04,142.06,142.56
1354604400,142.56,142.77,142.32,142.64
1354690800,142.64,143.35,142.53,143.13
1354777200,143.13,145.72,143.13,145.56
1354863600,145.56,145.86,145.41,145.7
1355122800,145.7,146.15,145.52,145.64
1355209200,145.64,145.76,145.23,145.33
1355295600,145.33,145.39,145.01,145.05
1355382000,145.05,145.52,144.82,145.07
1355468400,145.07,145.22,144.72,144.97
1355727600,144.97,145,144.6,144.67
1355814000,144.67,144.82,144.12,144.17
1355900400,144.17,144.39,143.79,144.08
1355986800,144.08,144.49,144.08,144.33
1356073200,144.33,144.83,144.33,144.7
1356591600,144.7,145.61,144.61,145.4
1356678000,145.4,145.81,145.4,145.56
1357110000,145.56,145.56,143.93,143.96
1357196400,143.96,144.15,143.18,143.23
1357282800,143.23,143.41,142.51,142.86
1357542000,142.86,143.16,142.78,143.08
1357628400,143.08,143.5,143,143.38
1357714800,143.38,143.75,143.18,143.55
1357801200,143.55,143.64,142.42,142.51
1357887600,142.51,142.76,142.04,142.55
1358146800,142.55,142.92,142.43,142.57
1358233200,142.57,143.37,142.57,143.05
1358319600,143.05,143.63,143.05,143.37
1358406000,143.37,143.6,142.5,142.61
1358492400,142.61,143.36,142.37,143.23
1358751600,143.23,143.32,142.84,142.93
1358838000,142.93,143.21,142.53,143.1
1358924400,143.1,143.66,143.06,143.49
1359010800,143.49,144.05,143.16,143.31
1359097200,143.31,143.47,142.19,142.29
1359356400,142.29,142.51,141.6,141.92
1359442800,141.92,142.25,141.7,141.71
1359529200,141.71,141.95,141.27,141.68
1359615600,141.68,142.15,141.54,141.8
1359702000,141.8,142.43,141.55,141.55
1359961200,141.55,142.8,141.48,142.69
1360047600,142.69,142.91,141.93,142.24
1360134000,142.24,142.76,142.21,142.54
1360220400,142.54,142.99,142.14,142.69
1360306800,142.69,143.09,142.61,142.99
1360566000,142.99,143.09,142.61,142.83
1360652400,142.83,143.01,142.4,142.64
1360738800,142.64,142.67,141.83,141.95
1360825200,141.95,142.66,141.86,142.6
1360911600,142.6,142.99,142.28,142.63
1361170800,142.63,142.9,142.48,142.69
1361257200,142.69,142.96,142.6,142.65
1361343600,142.65,142.68,142.22,142.65
1361430000,142.65,143.58,142.65,143.4
1361516400,143.4,143.72,143.16,143.57
1361775600,143.57,144.45,142.84,144.42
1361862000,144.42,145.11,144.42,144.89
1361948400,144.89,145.39,144.79,144.85
1362034800,144.85,145.21,144.8,145.03
1362121200,145.03,145.62,144.85,145.59
1362380400,145.59,145.77,145.34,145.38
1362466800,145.38,145.41,145,145.12
1362553200,145.12,145.23,144.85,145.02
1362639600,145.02,145.02,142.63,142.9
1362726000,142.9,142.93,142.26,142.71
1362985200,142.71,142.85,142.5,142.5
1363071600,142.5,143.19,142.5,143
1363158000,143,143.35,142.9,143.08
1363244400,143.08,143.22,142.81,143.11
1363330800,143.11,143.52,142.99,143.43
1363590000,143.43,144.52,143.43,144.04
1363676400,144.04,144.8,143.97,144.69
1363762800,144.69,144.69,143.94,144.14
1363849200,144.14,144.64,144.04,144.54
1363935600,144.54,144.81,144.2,144.46
1364194800,144.46,144.91,143.9,144.69
1364281200,144.69,144.88,144.48,144.83
1364367600,144.83,145.65,144.82,145.62
1364454000,145.62,145.85,145.32,145.4
1364882400,145.4,145.61,145.09,145.22
1364968800,145.22,145.63,145.12,145.56
1365055200,145.56,146.06,145.44,146.05
1365141600,146.05,146.52,145.81,146.26
1365400800,146.26,146.32,145.85,145.85
1365487200,145.85,146.04,145.5,145.6
1365573600,145.6,145.66,145.14,145.15
1365660000,145.15,145.48,144.92,145.2
1365746400,145.2,145.96,145.2,145.84
1366005600,145.84,146.2,145.62,146.15
1366092000,146.15,146.15,145.53,145.67
