time,open,high,low,close
1314568800,3.954,4.113,3.954,4.092
1314655200,4.092,4.173,4.081,4.135
1314741600,4.135,4.2,4.103,4.17
1314828000,4.17,4.183,4.109,4.121
1314914400,4.121,4.142,4.071,4.102
1315173600,4.102,4.114,4.027,4.038
1315260000,4.038,4.072,4.003,4.047
1315346400,4.047,4.129,4.042,4.124
1315432800,4.124,4.142,4.069,4.102
1315519200,4.102,4.125,3.978,3.98
1315778400,3.98,3.983,3.89,3.979
1315864800,3.979,4.008,3.938,3.955
1315951200,3.955,3.995,3.872,3.895
1316037600,3.895,3.966,3.875,3.946
1316124000,3.946,3.984,3.915,3.919
1316383200,3.919,3.919,3.755,3.778
1316469600,3.778,3.814,3.696,3.701
1316556000,3.701,3.775,3.681,3.692
1316642400,3.692,3.71,3.403,3.436
1316728800,3.436,3.486,3.205,3.303
1316988000,3.303,3.346,3.063,3.346
1317074400,3.346,3.474,3.289,3.41
1317160800,3.41,3.413,3.155,3.165
1317247200,3.165,3.276,3.07,3.236
1317333600,3.236,3.304,3.096,3.113
1317592800,3.113,3.169,2.986,3.046
1317679200,3.046,3.145,2.93,3.12
1317765600,3.12,3.16,3.016,3.129
1317852000,3.129,3.271,3.102,3.265
1317938400,3.265,3.328,3.25,3.277
1318197600,3.277,3.385,3.25,3.37
1318284000,3.37,3.381,3.225,3.271
1318370400,3.271,3.406,3.232,3.357
1318456800,3.357,3.368,3.28,3.321
1318543200,3.321,3.425,3.307,3.422
1318802400,3.422,3.458,3.327,3.331
1318888800,3.331,3.415,3.253,3.367
1318975200,3.367,3.37,3.202,3.217
1319061600,3.217,3.23,3.027,3.08
1319148000,3.08,3.242,3.07,3.24
1319407200,3.24,3.467,3.218,3.46
1319493600,3.46,3.535,3.356,3.405
1319580000,3.405,3.583,3.393,3.512
1319666400,3.512,3.721,3.512,3.704
1319752800,3.704,3.749,3.615,3.713
1320012000,3.713,3.74,3.567,3.604
1320098400,3.604,3.655,3.461,3.508
