time,open,high,low,close,LOC,EMA,EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side)
1658721600,21760,21885,21725,21885,,22762.224182034526,-1,0,0,0,0,0,0
1658725200,21885,21900,21800,21890,21865,22471.48278802302,-1,1,0,0,0,0,0
1658728800,21910,21930,21800,21880,21865,,-1,1,0,0,0,0,0
1658732400,21900,21975,21895,21960,21865,,-1,1,0,0,0,0,0
1658736000,21890,22090,21885,22070,21940,,-1,1,0,0,0,0,0
1658739600,22070,22100,21985,21985,21990,22309.32185868201,-1,1,0,0,0,0,0
1658743200,22020,22065,21965,22055,21990,,-1,1,0,0,0,0,0
1658746800,22080,22100,21930,21945,21990,,-1,1,0,0,0,0,0
1658750400,21950,21970,21825,21970,22010,,-1,-1,-1,0,0,0,0
1658754000,21980,22025,21775,21910,22010,22176.214572454675,-1,-1,-1,0,0,0,0
1658757600,21935,21945,21690,21875,22010,,-1,-1,-1,0,0,0,0
1658761200,21905,21920,21745,21910,22010,,-1,-1,-1,0,0,0,0
1658764800,21905,21990,21850,21965,22010,,-1,-1,-1,0,0,0,0
1658768400,21970,22025,21865,21885,22010,22079.143048303118,-1,-1,-1,0,0,0,0
1658772000,21830,21935,21830,21845,21905,,-1,-1,-1,0,0,0,0
1658775600,21840,21925,21560,21915,21905,,-1,-1,-1,0,0,0,0
1658779200,21920,22270,21900,22165,21900,22107.762032202078,1,1,1,0,0,0,0
1658786400,22035,22080,21535,21745,22100,,-1,1,0,0,0,0,0
1658790000,21670,21750,21260,21310,21745,,-1,-1,-1,0,0,0,0
1658793600,21300,21305,20975,20975,21305,,-1,-1,-1,0,0,0,0
1658797200,20985,21120,20985,21075,21105,21763.508021468053,-1,-1,-1,0,0,0,0
1658800800,21085,21105,21040,21055,21105,,-1,-1,-1,0,0,0,0
1658804400,21075,21240,20845,21135,21105,,-1,-1,-1,0,0,0,0
1658808000,21190,21240,21115,21120,21090,,-1,1,0,0,0,0,0
1658811600,21115,21170,21045,21160,21115,21562.3386809787,-1,-1,-1,0,0,0,0
1658815200,21140,21165,21080,21080,21130,,-1,1,0,0,0,0,0
1658818800,21110,21115,21015,21085,21115,,-1,-1,-1,0,0,0,0
1658822400,21050,21085,20985,21070,21115,,-1,-1,-1,0,0,0,0
1658826000,21075,21135,21070,21130,21115,21418.225787319134,-1,-1,-1,0,0,0,0
1658829600,21070,21075,21050,21050,21130,,-1,1,0,0,0,0,0
1658833200,21060,21150,20950,21090,21075,,-1,-1,-1,0,0,0,0
1658836800,21075,21200,20960,21025,21075,,-1,-1,-1,0,0,0,0
1658840400,21005,21015,20790,20935,21015,21257.150524879424,-1,-1,-1,0,0,0,0
