time,open,high,low,close
1261060200,164.53,164.53,164.53,164.53
1261146600,167.04,167.04,167.04,167.04
1261405800,165.43,165.43,165.43,165.43
1261492200,165.95,165.95,165.95,165.95
1261578600,171.37,171.37,171.37,171.37
1261665000,172.01,172.01,172.01,172.01
1262010600,171.29,171.29,171.29,171.29
1262097000,169.47,169.47,169.47,169.47
1262183400,168.12,168.12,168.12,168.12
1262269800,168.25,168.25,168.25,168.25
1262615400,174.02,174.02,174.02,174.02
1262701800,176.02,176.02,176.02,176.02
1262788200,180.76,180.76,180.76,180.76
1262874600,179.21,179.21,179.21,179.21
1262961000,181.74,181.74,181.74,181.74
1263220200,182.62,182.62,182.62,182.62
1263306600,175.92,175.92,175.92,175.92
1263393000,177.92,177.92,177.92,177.92
1263479400,176.4,176.4,176.4,176.4
1263565800,172.78,172.78,172.78,172.78
1263911400,173.9,173.9,173.9,173.9
1263997800,167.29,167.29,167.29,167.29
1264084200,159.49,159.49,159.49,159.49
1264170600,158.78,158.78,158.78,158.78
1264429800,157.24,157.24,157.24,157.24
1264516200,156.08,156.08,156.08,156.08
1264602600,154.73,154.73,154.73,154.73
1264689000,153.42,153.42,153.42,153.42
1264775400,147.93,147.93,147.93,147.93
1265034600,156.13,156.13,156.13,156.13
1265121000,156.55,156.55,156.55,156.55
1265207400,154.76,154.76,154.76,154.76
1265293800,146.42,146.42,146.42,146.42
1265380200,154.25,154.25,154.25,154.25
1265639400,149.34,149.34,149.34,149.34
1265725800,155.07,155.07,155.07,155.07
1265812200,154.58,154.58,154.58,154.58
1265898600,160.71,160.71,160.71,160.71
1265985000,159.6,159.6,159.6,159.6
1266330600,163.99,163.99,163.99,163.99
1266417000,162.97,162.97,162.97,162.97
1266503400,165.29,165.29,165.29,165.29
1266589800,164.44,164.44,164.44,164.44
1266849000,162,162,162,162
1266935400,156.46,156.46,156.46,156.46
1267021800,155.42,155.42,155.42,155.42
1267108200,160,160,160,160
1267194600,161.39,161.39,161.39,161.39
1267453800,164.11,164.11,164.11,164.11
1267540200,167.96,167.96,167.96,167.96
1267626600,170.28,170.28,170.28,170.28
1267713000,168.03,168.03,168.03,168.03
1267799400,170.81,170.81,170.81,170.81
1268058600,169.21,169.21,169.21,169.21
1268145000,168.22,168.22,168.22,168.22
1268231400,165.83,165.83,165.83,165.83
1268317800,167.24,167.24,167.24,167.24
1268404200,166.04,166.04,166.04,166.04
1268659800,165.51,165.51,165.51,165.51
1268746200,169.92,169.92,169.92,169.92
1268832600,169.77,169.77,169.77,169.77
1268919000,168.6,168.6,168.6,168.6
1269005400,165.99,165.99,165.99,165.99
1269264600,166.49,166.49,166.49,166.49
1269351000,167.02,167.02,167.02,167.02
1269437400,161.1,161.1,161.1,161.1
1269523800,158.31,158.31,158.31,158.31
1269610200,161.41,161.41,161.41,161.41
1269869400,164.54,164.54,164.54,164.54
1269955800,163.72,163.72,163.72,163.72
1270042200,165.28,165.28,165.28,165.28
1270128600,171.28,171.28,171.28,171.28
1270474200,173.07,173.07,173.07,173.07
1270560600,172.58,172.58,172.58,172.58
1270647000,176.05,176.05,176.05,176.05
1270733400,175.95,175.95,175.95,175.95
1270819800,177,177,177,177
1271079000,174.96,174.96,174.96,174.96
1271165400,173.71,173.71,173.71,173.71
1271251800,174.87,174.87,174.87,174.87
1271338200,173.06,173.06,173.06,173.06
1271424600,168.67,168.67,168.67,168.67
1271683800,168.47,168.47,168.47,168.47
1271770200,168.01,168.01,168.01,168.01
1271856600,168.61,168.61,168.61,168.61
1271943000,170.55,170.55,170.55,170.55
1272029400,172.43,172.43,172.43,172.43
1272288600,172.49,172.49,172.49,172.49
1272375000,171.89,171.89,171.89,171.89
1272461400,176.6,176.6,176.6,176.6
1272547800,178.59,178.59,178.59,178.59
1272634200,179.02,179.02,179.02,179.02
1272893400,176.57,176.57,176.57,176.57
1272979800,174.39,174.39,174.39,174.39
1273066200,172.86,172.86,172.86,172.86
1273152600,174.59,174.59,174.59,174.59
1273239000,171.89,171.89,171.89,171.89
1273498200,176.68,176.68,176.68,176.68
1273584600,184.25,184.25,184.25,184.25
1273671000,186.06,186.06,186.06,186.06
1273757400,182.76,182.76,182.76,182.76
1273843800,183.8,183.8,183.8,183.8
1274103000,179.96,179.96,179.96,179.96
1274189400,178.75,178.75,178.75,178.75
1274275800,172.53,172.53,172.53,172.53
1274362200,164.82,164.82,164.82,164.82
1274448600,166.11,166.11,166.11,166.11
1274707800,166.06,166.06,166.06,166.06
1274794200,171.2,171.2,171.2,171.2
1274880600,170.74,170.74,170.74,170.74
1274967000,175.6,175.6,175.6,175.6
1275053400,173.93,173.93,173.93,173.93
1275399000,173.02,173.02,173.02,173.02
1275485400,177.03,177.03,177.03,177.03
1275571800,173.21,173.21,173.21,173.21
