time,open,high,low,close
1249938000,4275.1,4337.2,4256.1,4285.9
1250024400,4285.9,4373.8,4265.8,4357.7
1250110800,4357.7,4470.8,4338.7,4453.7
1250197200,4453.7,4484.7,4417.5,4434.5
1250456400,4434.5,4434.5,4319.2,4326.2
1250542800,4326.2,4393,4321.9,4387
1250629200,4387,4417,4318.7,4390.7
1250715600,4390.7,4407.7,4318.4,4342.3
1250802000,4342.3,4356.3,4232,4258
1251061200,4258,4442.3,4258,4404.2
1251147600,4404.2,4446,4375.1,4417.9
1251234000,4417.9,4463.8,4404.8,4427.6
1251320400,4427.6,4474.4,4411.3,4459.3
1251406800,4459.3,4492.2,4457.2,4488.2
1251666000,4488.2,4539.4,4457.1,4466.1
1251752400,4466.1,4539.9,4448.8,4454.7
1251838800,4454.7,4456.7,4404.5,4423.4
1251925200,4423.4,4464.1,4408.3,4464.1
1252011600,4464.1,4477.1,4417,4431
1252270800,4431,4488,4431,4488
1252357200,4488,4561.7,4479.9,4545.6
1252443600,4545.6,4570.4,4504.4,4559.3
1252530000,4559.3,4616,4539.1,4609
1252616400,4609,4611.9,4585.9,4601.9
1252875600,4601.9,4601.9,4513.9,4575.7
1252962000,4575.7,4587.7,4526.6,4568.4
1253048400,4568.4,4714.9,4568.4,4708.9
1253134800,4708.9,4746.8,4671.3,4689.2
1253221200,4689.2,4693.2,4650.4,4662.4
1253480400,4662.4,4695.8,4638.2,4661.2
1253566800,4661.2,4705.2,4648.3,4689.3
1253653200,4689.3,4755.2,4689.3,4700.4
1253739600,4700.4,4734.4,4658.8,4659.8
1253826000,4659.8,4724.6,4631.9,4706.7
1254085200,4706.7,4732.3,4637.5,4727.4
1254171600,4727.4,4761.3,4715.4,4728.6
1254258000,4728.6,4760.5,4687.9,4721.8
1254344400,4721.8,4751.7,4626.3,4628.3
1254430800,4628.3,4628.3,4590.5,4591.5
1254690000,4591.5,4620.2,4560.2,4609.2
1254776400,4609.2,4657.2,4575.4,4645.3
1254862800,4645.3,4705.2,4640.3,4695.4
1254949200,4695.4,4793.2,4680.4,4776.3
1255035600,4776.3,4794.3,4734.5,4734.5
1255294800,4734.5,4786,4728.2,4763.2
1255381200,4763.2,4793.2,4749.4,4765.4
1255467600,4765.4,4873.3,4765.4,4872.3
1255554000,4872.3,4885.3,4820.6,4870.5
1255640400,4870.5,4873.6,4822.8,4835.7
1255899600,4835.7,4848.5,4759.5,4840.5
