time,open,high,low,close
1451599200,437.2,437.2,427.9,436.3
1451858400,423.3,436.5,423.3,435.5
1451944800,435.5,436.5,427.8,433.5
1452031200,433.5,433.7,427.1,431.2
1452117600,431.2,457,428.7,456.4
1452204000,456.4,463.1,446.3,453.5
1452463200,445.8,451.9,443.8,449
1452549600,449,450.5,446,446.3
1452636000,446.3,446.3,425,427.5
1452722400,427.5,434.1,426.4,433
1452808800,433,433,384.5,387.9
1453068000,386,387.4,371.2,382.2
1453154400,382.2,385.1,376.4,380.5
1453240800,380.5,415.5,374.3,407.9
1453327200,407.9,426.9,398.1,407
1453413600,407,413.6,375,385.3
1453672800,401.7,404.1,395.6,397
1453759200,397,397,390.3,394.3
1453845600,394.3,397.2,390.6,395.3
1453932000,395.3,396.1,378.3,383.5
1454018400,383.5,384.5,365.5,375.9
1454277600,378.4,378.8,366.3,369.9
1454364000,369.9,375.4,369.9,373.3
1454450400,373.3,373.5,367.6,369.3
1454536800,369.3,391.7,366.9,387.1
1454623200,387.1,390.8,384.6,386.1
1454882400,375.2,378.3,371.7,373.1
1454968800,373.1,377.2,371.1,373.4
1455055200,373.4,384.2,372.8,379.9
1455141600,379.9,380.7,373,375
1455228000,375,384.8,375,382.5
1455487200,400,407.8,396.8,397
1455573600,397,409.2,397,406
1455660000,406,420.1,406,418.8
1455746400,418.8,422.8,415.1,420.9
1455832800,420.9,422.6,415.4,419.3
1456092000,439.9,440.1,430.9,437.1
1456178400,437.1,438.3,411.9,418.6
1456264800,418.6,422.9,410.9,422.9
1456351200,422.9,426.5,416.8,423.2
1456437600,423.2,426.4,418.9,425.5
1456696800,433.6,440.8,430.5,435.4
1456783200,435.4,439.2,427.1,431.7
1456869600,431.7,433.6,431.4,431.5
1456956000,431.5,431.5,414.3,419.1
1457042400,419.1,421,408.5,411.1
1457301600,402,410.8,402,410.6
1457388000,410.6,413.8,410.6,413
1457474400,413,413.1,408.8,409.7
1457560800,409.7,414.7,409.7,414.7
1457647200,414.7,420.4,414.6,418.9
1457902800,411.4,414.7,411,413.6
1457989200,413.6,416.2,413.6,416.1
1458075600,416.1,416.2,415.2,415.6
1458162000,415.6,417.5,415.6,417.5
1458248400,417.5,417.9,417.5,417.7
1458507600,410.8,411.2,408.8,411
1458594000,411,417.8,410.8,416.8
1458680400,416.8,417.9,416.7,417.9
1458766800,417.9,418.4,413.8,415.9
1458853200,415.9,417.2,412.8,416
1459112400,425.3,425.3,421.9,421.9
1459198800,421.9,423.7,421.9,423
1459285200,423,423,414.2,414.2
1459371600,414.2,417,414.1,416.8
1459458000,416.8,417.1,414.5,416.4
1459717200,419.2,419.6,417.9,419.2
1459803600,419.2,423.3,419.2,421.9
1459890000,421.9,423.5,421.9,423.1
1459976400,423.1,423.4,419.8,422.5
1460062800,422.5,424.2,415.4,417.5
1460322000,420.8,422.9,419.5,422.8
1460408400,422.8,427.2,422.8,426.1
1460494800,426.1,426.8,422.8,423.9
1460581200,423.9,425.7,423.9,424.8
1460667600,424.8,429.9,424.8,429.4
1460926800,427.9,428.6,427.3,427.5
1461013200,427.5,431.2,427.5,431.2
1461099600,431.2,443.3,431.2,442.2
1461186000,442.2,450.9,442.2,450.5
1461272400,450.5,451,445.2,448.6
1461531600,462.3,466.1,453.9,466.1
1461618000,466.1,470.6,463.6,468.9
1461704400,468.9,469.5,452.4,454.9
1461790800,454.9,454.9,435.7,448.6
1461877200,448.6,457.1,448.6,456.1
1462136400,452.7,454.2,441.5,446.8
1462222800,446.8,452,443.5,452
1462309200,452,452.1,449.2,449.2
1462395600,449.2,449.2,447.1,449
1462482000,449,460.9,448.3,460.9
1462741200,457.9,463.9,456.7,461.9
1462827600,461.9,462.9,460.8,461.1
1462914000,461.1,461.1,452.1,452.7
1463000400,452.7,454,449.3,452.3
1463086800,452.3,458.1,452.3,457.8
1463346000,457.7,458.4,457.7,458
1463432400,458,458,452.6,454.6
1463518800,454.6,456.2,454.5,456
1463605200,456,456,441.8,444.1
1463691600,444.1,444.1,438.2,442.8
1463950800,439,443.4,439,442.9
1464037200,442.9,446.9,442.9,446.1
1464123600,446.1,449.9,445.6,448.9
1464210000,448.9,454.3,448.9,453.7
1464296400,453.7,479.9,453.6,473.5
1464555600,536.2,542.1,504.6,530.4
1464642000,530.4,545,522.1,522.3
1464728400,522.3,545.2,521.4,534.9
1464814800,534.9,540,533.1,537.4
1464901200,537.4,576.2,535.7,576.2
1465160400,575.1,587.6,566.6,584.1
1465246800,584.1,589.2,582.8,583.1
1465333200,583.1,583.6,574.9,581.3
1465419600,581.3,583.1,572.4,577.4
1465506000,577.4,580.7,575.3,578.8
1465765200,665.4,718.7,660.2,692.2
1465851600,692.2,704.2,661.6,691.7
1465938000,691.7,693,668.1,679.1
1466024400,679.1,769.1,679.1,760.5
1466110800,760.5,774.3,707.7,756.3
1466370000,763.6,763.8,725.9,741.2
1466456400,741.2,742.8,628,654.2
1466542800,654.2,679.3,614,616.8
1466629200,616.8,635,560.1,615
1466715600,615,680.3,615,659.7
1466974800,636.9,655,622,645.1
1467061200,645.1,657.5,636.7,648.5
1467147600,648.5,651.7,631.5,643
1467234000,643,675.6,637.6,664.7
1467320400,664.7,693,664.7,677.7
1467579600,658.7,679.6,649.5,674.6
1467666000,674.6,679.8,660.8,670.2
1467752400,670.2,680.1,665.9,674.4
1467838800,674.4,680.3,613.5,620.6
1467925200,620.6,661.4,611.1,661
1468184400,650,658.7,645.2,649.9
1468270800,649.9,674.9,647.7,669.8
1468357200,669.8,673.8,661.2,662
1468443600,662,663.4,650.7,659.5
1468530000,659.5,668.7,658.5,668.1
1468789200,681.8,682.6,667.6,671.3
1468875600,671.3,675.1,671.3,673.4
1468962000,673.4,673.4,662.5,662.6
1469048400,662.6,667.6,660,665.4
1469134800,665.4,667,651.1,658.3
1469394000,663,663.9,652.4,658.1
1469480400,658.1,659.2,645.3,654.4
1469566800,654.4,659.6,650.3,658
1469653200,658,659.3,654.7,657.4
1469739600,657.4,658,655.8,658
1469998800,634.4,634.4,611.9,616.7
1470085200,616.7,616.7,559.9,568.9
1470171600,568.9,570.9,470,570.8
1470258000,570.8,601.8,567.4,574.3
1470344400,574.3,586.6,571.3,573
