time,open,high,low,close
1257804000,3.812,3.949,3.772,3.917
1257890400,3.917,4.009,3.897,3.905
1257976800,3.905,3.963,3.808,3.886
1258063200,3.886,3.929,3.837,3.879
1258322400,3.879,4.008,3.879,3.998
1258408800,3.998,4.023,3.951,4.001
1258495200,4.001,4.079,3.959,3.974
1258581600,3.974,3.99,3.885,3.94
1258668000,3.94,3.975,3.888,3.896
1258927200,3.896,4.017,3.838,3.845
1259013600,3.845,3.86,3.733,3.759
1259100000,3.759,3.926,3.759,3.909
1259272800,3.909,3.975,3.78,3.965
1259532000,3.965,4.044,3.914,4.002
1259618400,4.002,4.052,3.965,3.967
1259704800,3.967,3.983,3.893,3.91
1259791200,3.91,3.966,3.844,3.849
1259877600,3.849,3.859,3.727,3.729
1260136800,3.729,3.776,3.671,3.686
1260223200,3.686,3.747,3.672,3.702
1260309600,3.702,3.73,3.635,3.682
1260396000,3.682,3.805,3.658,3.768
1260482400,3.768,3.909,3.743,3.884
1260741600,3.884,3.948,3.848,3.94
1260828000,3.94,3.949,3.901,3.918
1260914400,3.918,3.987,3.886,3.958
1261000800,3.958,3.958,3.791,3.811
1261087200,3.811,3.869,3.771,3.834
1261346400,3.834,3.928,3.821,3.861
1261432800,3.861,3.884,3.802,3.848
1261519200,3.848,3.917,3.839,3.905
1261605600,3.905,3.953,3.896,3.948
1261951200,3.948,4.054,3.948,4.022
1262037600,4.022,4.051,4.005,4.041
1262124000,4.041,4.041,3.897,4.009
1262210400,4.009,4.056,3.995,4.016
1262556000,4.016,4.141,4.015,4.052
1262642400,4.052,4.082,4.036,4.07
1262728800,4.07,4.103,4.045,4.101
1262815200,4.101,4.125,4.037,4.064
1262901600,4.064,4.122,4.038,4.093
1263160800,4.093,4.141,4.074,4.076
1263247200,4.076,4.084,3.827,3.827
1263333600,3.827,3.827,3.589,3.733
1263420000,3.733,3.735,3.676,3.696
1263506400,3.696,3.707,3.607,3.627
1263852000,3.627,3.669,3.596,3.611
1263938400,3.611,3.624,3.544,3.61
1264024800,3.61,3.641,3.563,3.639
1264111200,3.639,3.649,3.562,3.577
1264370400,3.577,3.62,3.577,3.611
1264456800,3.611,3.619,3.534,3.546
1264543200,3.546,3.566,3.516,3.521
1264629600,3.521,3.564,3.512,3.557
1264716000,3.557,3.569,3.489,3.494
1264975200,3.494,3.548,3.494,3.521
1265061600,3.521,3.613,3.521,3.589
1265148000,3.589,3.624,3.47,3.475
1265234400,3.475,3.532,3.437,3.491
1265320800,3.491,3.502,3.424,3.463
1265580000,3.463,3.571,3.463,3.512
1265666400,3.512,3.587,3.5,3.535
1265752800,3.535,3.608,3.507,3.574
1265839200,3.574,3.604,3.551,3.588
1265925600,3.588,3.598,3.533,3.577
1266271200,3.577,3.65,3.577,3.638
1266357600,3.638,3.641,3.56,3.572
1266444000,3.572,3.581,3.522,3.534
1266530400,3.534,3.573,3.5,3.566
1266789600,3.566,3.739,3.566,3.694
1266876000,3.694,3.703,3.646,3.651
1266962400,3.651,3.732,3.649,3.727
1267048800,3.727,3.727,3.669,3.694
1267135200,3.694,3.778,3.694,3.77
1267394400,3.77,3.792,3.676,3.693
1267480800,3.693,3.719,3.637,3.68
1267567200,3.68,3.764,3.68,3.741
1267653600,3.741,3.741,3.68,3.71
1267740000,3.71,3.759,3.632,3.645
1267999200,3.645,3.672,3.617,3.639
1268085600,3.639,3.64,3.576,3.581
1268172000,3.581,3.603,3.523,3.555
1268258400,3.555,3.573,3.519,3.549
1268344800,3.549,3.58,3.529,3.554
1268600400,3.554,3.574,3.534,3.543
