time,open,high,low,close
1258495200,122.537,122.637,122.215,122.442
1258581600,122.442,122.781,122.343,122.668
1258668000,122.668,122.965,122.476,122.853
1258927200,122.853,122.853,122.491,122.688
1259013600,122.688,123.024,122.688,123.014
1259100000,123.014,123.085,122.72,122.979
1259186400,122.979,123.925,122.979,123.875
1259272800,123.875,124.229,123.463,123.8
1259532000,123.8,123.892,123.559,123.755
1259618400,123.755,123.903,123.445,123.549
1259704800,123.549,123.697,123.34,123.424
1259791200,123.424,123.512,122.994,123.379
1259877600,123.379,123.531,122.637,122.854
1260136800,122.854,123.19,122.74,123.13
1260223200,123.13,123.849,123.039,123.468
1260309600,123.468,123.848,123.347,123.477
1260396000,123.477,123.576,123.055,123.235
1260482400,123.235,123.235,122.674,122.984
1260741600,122.984,123.25,122.73,123.029
1260828000,123.029,123.209,122.488,122.638
1260914400,122.638,123.107,122.226,122.736
1261000800,122.736,123.656,122.736,123.556
1261087200,123.556,123.775,123.415,123.554
1261346400,123.554,123.641,122.959,122.999
1261432800,122.999,122.999,122.328,122.437
1261519200,122.437,122.447,121.786,121.896
1261951200,121.896,121.896,121.379,121.598
1262037600,121.598,121.728,121.357,121.607
1262124000,121.607,121.666,121.135,121.315
1262556000,121.315,121.509,120.929,121.348
1262642400,121.348,121.687,121.187,121.517
1262728800,121.517,121.566,121.236,121.335
1262815200,121.335,121.574,121.195,121.484
1262901600,121.484,121.923,121.273,121.513
1263160800,121.513,121.869,121.259,121.769
1263247200,121.769,122.318,121.769,122.177
1263333600,122.177,122.326,121.936,122.046
1263420000,122.046,122.465,121.955,122.325
1263506400,122.325,122.734,122.314,122.653
1263765600,122.653,122.85,122.62,122.799
1263852000,122.799,122.919,122.358,122.558
1263938400,122.558,123.187,122.558,123.027
1264024800,123.027,123.406,122.685,123.365
1264111200,123.365,123.555,123.094,123.414
1264370400,123.414,123.414,122.98,123.28
1264456800,123.28,123.569,123.219,123.288
1264543200,123.288,123.667,123.027,123.197
1264629600,123.197,123.526,122.866,123.415
1264716000,123.415,123.754,123.004,123.694
1264975200,123.694,123.694,123.4,123.51
1265061600,123.51,123.629,123.229,123.508
1265148000,123.508,123.508,123.007,123.137
1265234400,123.137,123.996,123.046,123.986
1265320800,123.986,124.574,123.825,124.294
1265580000,124.294,124.341,123.92,124.09
1265666400,124.09,124.099,123.258,123.478
1265752800,123.478,123.747,123.017,123.287
1265839200,123.287,123.406,122.956,123.075
1265925600,123.075,123.664,123.075,123.454
1266184800,123.454,123.6,123.35,123.5
1266271200,123.5,123.728,123.239,123.648
1266357600,123.648,123.648,123.347,123.377
1266444000,123.377,123.446,122.895,123.105
1266530400,123.105,123.105,122.584,122.724
1266789600,122.724,122.92,122.56,122.909
1266876000,122.909,123.888,122.699,123.868
1266962400,123.868,124.177,123.657,124.117
1267048800,124.117,124.456,124.106,124.365
1267135200,124.365,124.514,124.104,124.374
1267394400,124.374,124.46,124.07,124.43
1267480800,124.43,124.43,123.949,124.358
1267567200,124.358,124.358,123.977,124.117
1267653600,124.117,124.445,123.876,124.305
1267740000,124.305,124.385,123.934,124.154
1267999200,124.154,124.209,123.862,124.049
1268085600,124.049,124.614,124.049,124.416
1268172000,124.416,124.457,124.159,124.277
1268258400,124.277,124.277,123.739,124.036
1268344800,124.036,124.214,123.599,124.09
1268600400,124.09,124.258,124.007,124.179
1268686800,124.179,124.709,123.916,124.566
1268773200,124.566,124.817,124.394,124.589
1268859600,124.589,124.832,124.411,124.44
1268946000,124.44,124.693,124.29,124.554
1269205200,124.554,125.062,124.501,124.945
1269291600,124.945,125.134,124.886,124.999
1269378000,124.999,125.11,124.567,124.577
1269464400,124.577,124.68,123.834,124.003
1269550800,124.003,124.171,123.89,124.107
1269810000,124.107,124.372,123.861,124.226
1269896400,124.226,124.544,123.996,124.512
1269982800,124.512,124.731,124.393,124.615
1270069200,124.615,124.691,124.322,124.668
1270501200,124.668,124.668,123.642,124.025
1270587600,124.025,124.492,123.917,124.461
1270674000,124.461,124.67,124.343,124.353
1270760400,124.353,124.416,123.755,123.861
1271019600,123.861,123.861,123.103,123.718
1271106000,123.718,124.108,123.598,123.983
1271192400,123.983,124.222,123.743,123.925
1271278800,123.925,124.339,123.811,124.099
1271365200,124.099,124.668,124.099,124.615
1271624400,124.615,124.763,124.462,124.482
1271710800,124.482,124.605,124.249,124.383
1271797200,124.383,124.715,124.215,124.587
1271883600,124.587,125.138,124.468,124.761
1271970000,124.761,124.934,124.378,124.753
1272229200,124.753,125.1,124.529,124.861
1272315600,124.861,126.081,124.792,126.071
1272402000,126.071,126.242,125.022,125.399
1272488400,125.399,125.472,124.933,125.231
1272574800,125.231,125.597,125.001,125.474
1272834000,125.474,125.474,124.903,125.029
1272920400,125.029,126.439,125.029,126.298
1273006800,126.298,127.199,126.048,127.084
1273093200,127.084,128.583,126.33,128.271
1273179600,128.271,128.271,127.033,127.63
1273438800,127.63,127.63,125.456,126.03
1273525200,126.03,126.792,126.03,126.182
1273611600,126.182,126.435,125.912,126.034
1273698000,126.034,126.558,125.835,126.558
1273784400,126.558,127.296,126.429,127.102
1274043600,127.102,127.37,126.604,126.797
1274130000,126.797,128.184,126.638,128.063
1274216400,128.063,128.206,127.399,127.875
1274302800,127.875,128.924,127.535,128.709
1274389200,128.709,129.298,128.43,128.701
1274648400,128.701,129.174,128.576,128.656
1274734800,128.656,129.807,128.656,129.459
1274821200,129.459,129.466,128.834,129.09
1274907600,129.09,129.09,128.321,128.351
1274994000,128.351,129.066,128.323,128.813
1275253200,128.813,128.993,128.668,128.839
1275339600,128.839,129.561,128.464,128.84
1275426000,128.84,129.278,128.725,128.752
1275512400,128.752,128.886,128.219,128.764
1275598800,128.764,129.7,128.614,129.596
1275858000,129.596,129.72,129.279,129.699
1275944400,129.699,130.168,129.357,129.796
1276030800,129.796,129.955,129.313,129.634
1276117200,129.634,129.634,128.609,128.669
1276203600,128.669,129.529,128.628,129.398
1276462800,129.398,129.398,128.63,129.15
1276549200,129.15,129.359,128.247,128.346
1276635600,128.346,128.915,128.134,128.504
1276722000,128.504,128.753,128.102,128.521
1276808400,128.521,128.62,127.748,127.928
1277067600,127.928,127.928,127.32,127.79
1277154000,127.79,128.659,127.668,128.608
1277240400,128.608,128.867,128.386,128.696
1277326800,128.696,129.355,128.595,129.104
1277413200,129.104,129.343,128.972,129.051
1277672400,129.051,129.575,128.855,129.474
1277758800,129.474,130.044,129.474,129.762
1277845200,129.762,129.86,129.399,129.639
1277931600,129.639,129.828,129.157,129.597
1278018000,129.597,129.786,129.224,129.594
1278277200,129.594,129.988,129.508,129.867
1278363600,129.867,129.867,129.214,129.554
1278450000,129.554,129.733,129.241,129.241
1278536400,129.241,129.52,128.818,129.018
1278622800,129.018,129.227,128.646,128.975
1278882000,128.975,129.59,128.909,129.398
1278968400,129.398,129.617,128.805,128.845
1279054800,128.845,129.234,128.714,129.023
1279141200,129.023,129.162,128.32,128.85
1279227600,128.85,129.529,128.558,129.358
1279486800,129.358,129.672,128.711,128.8
1279573200,128.8,129.269,128.738,128.907
1279659600,128.907,129.425,128.716,129.375
1279746000,129.375,129.554,128.652,128.872
1279832400,128.872,129.031,127.969,128.019
1280091600,128.019,128.383,127.691,127.961
1280178000,127.961,127.961,127.479,127.718
1280264400,127.718,128.157,127.557,128.096
1280350800,128.096,128.384,127.885,128.244
1280437200,128.244,128.762,128.244,128.681
1280696400,128.681,128.681,128.184,128.313
1280782800,128.313,129.382,128.313,129.242
1280869200,129.242,129.56,129.17,129.239
1280955600,129.239,129.847,129.138,129.777
1281042000,129.777,130.235,129.525,130.224
1281301200,130.224,130.224,130.047,130.067
1281387600,130.067,130.665,129.885,130.564
1281474000,130.564,131.313,130.483,131.212
1281560400,131.212,131.47,130.971,131.139
1281646800,131.139,131.608,131.008,131.567
1281906000,131.567,132.36,131.44,132.31
1281992400,132.31,132.31,131.697,131.787
1282078800,131.787,132.365,131.736,132.144
1282165200,132.144,132.672,131.833,132.592
1282251600,132.592,133.07,132.43,132.799
1282510800,132.799,132.932,132.642,132.891
1282597200,132.891,134.3,132.87,133.839
1282683600,133.839,134.767,133.547,133.886
1282770000,133.886,134.385,133.705,134.244
1282856400,134.244,134.572,133.281,133.481
