time,open,high,low,close
1259013600,2509,2522.1,2494.1,2508.1
1259100000,2508.1,2528.2,2503.2,2516.2
1259186400,2516.2,2516.2,2425.5,2425.5
1259272800,2425.5,2475.5,2378.6,2442.5
1259532000,2442.5,2471.8,2424.9,2441.9
1259618400,2441.9,2499,2441.9,2490
1259704800,2490,2512.1,2485.1,2505.1
1259791200,2505.1,2523.2,2477.2,2478.2
1259877600,2478.2,2542.3,2478.2,2521.3
1260136800,2521.3,2521.3,2490.7,2506.7
1260223200,2506.7,2515.8,2459.8,2468.9
1260309600,2468.9,2478.9,2435,2453
1260396000,2453,2479.1,2445,2466.1
1260482400,2466.1,2502.1,2466.1,2480.2
1260741600,2480.2,2511.5,2480.2,2507.6
1260828000,2507.6,2513.6,2485.7,2501.7
1260914400,2501.7,2547.8,2501.7,2535.8
1261000800,2535.8,2536.9,2498.9,2500.9
1261087200,2500.9,2562.8,2500.9,2531.2
1261346400,2531.2,2570.6,2528.2,2565.5
1261432800,2565.5,2597.5,2565.5,2594.5
1261519200,2594.5,2607.2,2583,2604.2
1261951200,2604.2,2618.6,2601.3,2612.3
1262037600,2612.3,2618.1,2605.9,2618
1262124000,2618,2618,2586.3,2597.3
1262556000,2597.3,2644.8,2591.4,2633.6
1262642400,2633.6,2641.5,2624.1,2634.2
1262728800,2634.2,2639.1,2622.8,2630.8
1262815200,2630.8,2640.5,2610.3,2639.5
1262901600,2639.5,2650.3,2622,2648.1
1263160800,2648.1,2667.3,2631.8,2645.9
1263247200,2645.9,2645.9,2602,2613.1
1263333600,2613.1,2635.9,2602.7,2630.9
1263420000,2630.9,2642.6,2616.4,2642.6
1263506400,2642.6,2648.4,2591.7,2601.8
1263765600,2601.8,2619.9,2601.7,2614.7
1263852000,2614.7,2656.6,2592.2,2654.6
1263938400,2654.6,2654.6,2590.7,2614.8
1264024800,2614.8,2624.8,2528.7,2538.7
1264111200,2538.7,2555.7,2468.7,2472.8
1264370400,2472.8,2530.2,2472.8,2501.8
1264456800,2501.8,2522.7,2459.3,2504.5
1264543200,2504.5,2513.3,2479,2504.1
1264629600,2504.1,2531.1,2453.3,2470.4
1264716000,2470.4,2500.3,2445.8,2451.9
1264975200,2451.9,2496.1,2451.9,2486
1265061600,2486,2525.9,2476.7,2521.8
1265148000,2521.8,2526.6,2492.3,2508.3
1265234400,2508.3,2512.2,2412.3,2412.3
1265320800,2412.3,2422.2,2348.5,2384.7
1265580000,2384.7,2406.8,2359.6,2362.5
1265666400,2362.5,2446.6,2362.5,2428.5
1265752800,2428.5,2439.3,2406,2422.1
1265839200,2422.1,2448.9,2399.6,2447.8
1265925600,2447.8,2456.7,2410.3,2436.4
1266184800,2436.4,2449.4,2433.3,2442.3
1266271200,2442.3,2482,2438,2481
1266357600,2481,2509.9,2481,2503.8
1266444000,2503.8,2524.5,2487.5,2524.5
1266530400,2524.5,2530.2,2487.1,2518
1266789600,2518,2534.1,2505.9,2508.8
1266876000,2508.8,2525.7,2471.3,2477.3
1266962400,2477.3,2493,2467,2492.9
1267048800,2492.9,2492.9,2439.4,2469.5
1267135200,2469.5,2480.1,2442.1,2480.1
1267394400,2480.1,2501.2,2459,2490
1267480800,2490,2518.7,2486.7,2504.6
1267567200,2504.6,2536.4,2498.4,2521.2
1267653600,2521.2,2545,2511,2538.9
1267740000,2538.9,2592.6,2538.9,2587.6
1267999200,2587.6,2594.6,2571.5,2583.3
1268085600,2583.3,2591,2558.1,2582.9
1268172000,2582.9,2594.6,2570.7,2585.5
1268258400,2585.5,2594.3,2568.2,2590.1
1268344800,2590.1,2595.8,2578.8,2585.7
1268600400,2585.7,2585.7,2562.5,2580.5
1268686800,2580.5,2599.1,2575.2,2599.1
1268773200,2599.1,2622.8,2598.9,2616.7
1268859600,2616.7,2629.3,2604.5,2627.3
1268946000,2627.3,2639.3,2601.3,2609.3
1269205200,2609.3,2616.7,2571,2611.6
1269291600,2611.6,2630.4,2605,2629.4
1269378000,2629.4,2631.1,2598.4,2618.6
1269464400,2618.6,2652.7,2618.6,2631.2
1269550800,2631.2,2642.2,2621.5,2624.5
1269810000,2624.5,2642.4,2621.9,2632.9
1269896400,2632.9,2653,2630.4,2640.5
1269982800,2640.5,2645.2,2613.5,2632.7
1270069200,2632.7,2675,2632.7,2665.7
1270501200,2665.7,2684,2657.8,2684
1270587600,2684,2684,2653,2659
1270674000,2659,2663.5,2628.1,2663.5
1270760400,2663.5,2680.3,2663.2,2676.1
1271019600,2676.1,2692.9,2666.3,2679.4
1271106000,2679.4,2680,2657.6,2676.7
1271192400,2676.7,2696.4,2676.4,2696.4
1271278800,2696.4,2717.1,2679.8,2711
1271365200,2711,2711,2642.5,2657.6
1271624400,2657.6,2657.6,2620.6,2646.7
1271710800,2646.7,2675.7,2643.4,2673.5
1271797200,2673.5,2680.3,2641.5,2647.5
1271883600,2647.5,2656.3,2597.4,2628.7
1271970000,2628.7,2635.2,2602.1,2634.2
