time,open,high,low,close
1262296800,1.61757,1.61757,1.61563,1.61563
1262556000,1.61122,1.624185,1.605795,1.60844
1262642400,1.60844,1.615365,1.596605,1.599165
1262728800,1.599165,1.606415,1.593825,1.601865
1262815200,1.601865,1.60591,1.589715,1.593165
1262901600,1.593165,1.61108,1.59163,1.60232
1263160800,1.607,1.619405,1.604825,1.611495
1263247200,1.611495,1.619505,1.606285,1.616425
1263333600,1.616425,1.63076,1.61367,1.628055
1263420000,1.628055,1.634715,1.625045,1.633565
1263506400,1.633565,1.63563,1.6211,1.62639
1263765600,1.62602,1.637935,1.62505,1.634225
1263852000,1.634225,1.64582,1.631235,1.636115
1263938400,1.636115,1.637195,1.624445,1.629135
1264024800,1.629135,1.63115,1.612615,1.619555
1264111200,1.619555,1.62841,1.607795,1.61133
1264370400,1.61033,1.625985,1.60903,1.624385
1264456800,1.624385,1.626805,1.60941,1.614295
1264543200,1.614295,1.624445,1.610755,1.616935
1264629600,1.616935,1.627645,1.611315,1.613735
1264716000,1.613735,1.617975,1.59803,1.59868
1264975200,1.594595,1.59792,1.585135,1.595755
1265061600,1.595755,1.599575,1.590375,1.597405
1265148000,1.597405,1.607015,1.587745,1.589385
1265234400,1.589385,1.59194,1.57314,1.575445
1265320800,1.575445,1.57762,1.55586,1.56409
1265580000,1.55927,1.565985,1.55353,1.558515
1265666400,1.558515,1.574845,1.556245,1.571935
1265752800,1.571935,1.576485,1.557145,1.559505
1265839200,1.559505,1.57185,1.556025,1.570545
1265925600,1.570545,1.574135,1.558105,1.57003
1266184800,1.56833,1.572055,1.56134,1.56594
1266271200,1.56594,1.579535,1.562805,1.579215
1266357600,1.579215,1.58158,1.5667,1.567245
1266444000,1.567245,1.56878,1.549545,1.553055
1266530400,1.553055,1.554395,1.53477,1.54723
1266789600,1.54804,1.552075,1.543375,1.548165
1266876000,1.548165,1.557575,1.53941,1.542445
1266962400,1.542445,1.547665,1.53872,1.540875
1267048800,1.540875,1.542205,1.51891,1.526595
1267135200,1.526595,1.53231,1.515295,1.52365
1267394400,1.5156,1.52043,1.47846,1.499005
1267480800,1.499005,1.500005,1.48546,1.497155
1267567200,1.497155,1.51317,1.495955,1.509875
1267653600,1.509875,1.513645,1.50062,1.503265
1267740000,1.503265,1.5167,1.49933,1.51382
1267999200,1.51338,1.519585,1.503165,1.506625
1268085600,1.506625,1.506985,1.493655,1.499695
1268172000,1.499695,1.50164,1.487305,1.497745
1268258400,1.497745,1.506685,1.49463,1.506125
1268344800,1.506125,1.521865,1.50272,1.52048
1268600400,1.51768,1.52075,1.501995,1.505705
1268686800,1.505705,1.52598,1.4978,1.524295
1268773200,1.524295,1.538195,1.520975,1.532585
1268859600,1.532585,1.532825,1.521705,1.524415
1268946000,1.524415,1.52562,1.498945,1.50133
1269205200,1.50241,1.510635,1.493235,1.509955
1269291600,1.509955,1.511235,1.497265,1.504695
1269378000,1.504695,1.504835,1.486375,1.486655
1269464400,1.486655,1.50068,1.479815,1.481215
1269550800,1.481215,1.492405,1.480515,1.48974
1269810000,1.49206,1.501955,1.489255,1.498775
1269896400,1.498775,1.512775,1.49742,1.506905
1269982800,1.506905,1.520405,1.50437,1.518365
1270069200,1.518365,1.529885,1.517215,1.529165
1270155600,1.529165,1.529675,1.51823,1.52086
1270414800,1.52852,1.531925,1.522455,1.529515
1270501200,1.529515,1.530695,1.512955,1.526635
1270587600,1.526635,1.528665,1.513915,1.524145
1270674000,1.524145,1.528035,1.514105,1.527945
1270760400,1.527945,1.539215,1.526805,1.53708
1271019600,1.54574,1.548605,1.535295,1.536865
1271106000,1.536865,1.544945,1.533745,1.538115
1271192400,1.538115,1.549075,1.537265,1.546645
1271278800,1.546645,1.552325,1.538595,1.549525
1271365200,1.549525,1.550675,1.53593,1.5363
1271624400,1.52757,1.534085,1.519215,1.533785
1271710800,1.533785,1.543385,1.529055,1.535825
1271797200,1.535825,1.54387,1.533255,1.541065
1271883600,1.541065,1.547365,1.534225,1.537825
1271970000,1.537825,1.539845,1.52957,1.53763
1272229200,1.53881,1.549865,1.537425,1.545815
1272315600,1.545815,1.548435,1.524035,1.526455
1272402000,1.526455,1.528825,1.51261,1.520855
1272488400,1.520855,1.53423,1.51431,1.531955
1272574800,1.531955,1.53906,1.525395,1.52705
1272834000,1.53248,1.5333,1.52117,1.524755
1272920400,1.524755,1.526335,1.509125,1.514345
1273006800,1.514345,1.51736,1.506855,1.510175
1273093200,1.510175,1.514785,1.47129,1.48323
1273179600,1.48323,1.493725,1.44764,1.4804
1273438800,1.48768,1.50547,1.47573,1.484675
1273525200,1.484675,1.500425,1.47207,1.495545
1273611600,1.495545,1.50448,1.481915,1.482335
1273698000,1.482335,1.49179,1.459455,1.461385
1273784400,1.461385,1.46403,1.44968,1.45352
1274043600,1.45131,1.454675,1.42512,1.447415
1274130000,1.447415,1.45205,1.430465,1.433415
1274216400,1.433415,1.444905,1.423845,1.444385
1274302800,1.444385,1.446705,1.42282,1.436295
1274389200,1.436295,1.44962,1.43171,1.44599
1274648400,1.44633,1.452885,1.43525,1.442565
1274734800,1.442565,1.442665,1.42605,1.440855
1274821200,1.440855,1.444865,1.433115,1.438765
1274907600,1.438765,1.46074,1.436665,1.458195
1274994000,1.458195,1.461095,1.44348,1.44582
1275253200,1.44226,1.45488,1.44049,1.45379
1275339600,1.45379,1.472335,1.44393,1.465005
1275426000,1.465005,1.477025,1.455405,1.465145
1275512400,1.465145,1.4743,1.458705,1.461415
1275598800,1.461415,1.468245,1.44537,1.4455
1275858000,1.44101,1.456265,1.43888,1.446815
1275944400,1.446815,1.45295,1.434605,1.446875
1276030800,1.446875,1.460795,1.43962,1.452715
1276117200,1.452715,1.471795,1.450955,1.471525
1276203600,1.471525,1.47594,1.45049,1.45513
1276462800,1.45773,1.480905,1.455185,1.474285
1276549200,1.474285,1.483705,1.46828,1.480495
1276635600,1.480495,1.485565,1.472665,1.473045
1276722000,1.473045,1.48385,1.464575,1.482415
1276808400,1.482415,1.488655,1.477115,1.48233
1277067600,1.48598,1.493715,1.473835,1.475675
1277154000,1.475675,1.486005,1.468745,1.481515
1277240400,1.481515,1.49738,1.480415,1.495635
