time,open,high,low,close
1261605600,1854.7,1871.2,1853.4,1870.2
1261951200,1870.2,1883.1,1864.4,1876.1
1262037600,1876.1,1882.9,1870.8,1873.6
1262124000,1873.6,1881.8,1863.8,1879.1
1262210400,1879.1,1883.3,1860.8,1868.5
1262556000,1868.5,1890.5,1867,1888.5
1262642400,1888.5,1891,1877.5,1886
1262728800,1886,1893,1873.7,1879.2
1262815200,1879.2,1881.9,1867.2,1878.9
1262901600,1878.9,1893.9,1866.4,1891.2
1263160800,1891.2,1901.4,1875.6,1879.8
1263247200,1879.8,1885.1,1851.3,1866.8
1263333600,1866.8,1890.8,1854.5,1883.3
1263420000,1883.3,1895.3,1877.3,1893
1263506400,1893,1894.3,1856,1864.2
1263765600,1864.2,1876.2,1859.7,1875.4
1263852000,1875.4,1896.4,1858.7,1888.7
1263938400,1888.7,1893.4,1846.6,1870.2
1264024800,1870.2,1884.6,1837.9,1839.9
1264111200,1839.9,1850.4,1790.6,1798.1
1264370400,1798.1,1814,1785.3,1804.8
1264456800,1804.8,1824.8,1786.5,1802.7
1264543200,1802.7,1822.5,1788.7,1810.5
1264629600,1810.5,1821,1760.2,1779.2
1264716000,1779.2,1790.2,1732.7,1739.7
1264975200,1739.7,1759.1,1737.9,1758.3
1265061600,1758.3,1778.8,1748.6,1772.1
1265148000,1772.1,1791.8,1764.3,1790.1
1265234400,1790.1,1792.8,1732.3,1733.8
1265320800,1733.8,1748.5,1711.5,1745.8
1265580000,1745.8,1754.5,1731.2,1733.2
1265666400,1733.2,1768,1733,1754.7
1265752800,1754.7,1763.4,1736.9,1746.9
1265839200,1746.9,1779.4,1737.4,1777.9
1265925600,1777.9,1784.2,1754.7,1783.9
1266184800,1783.9,1785.1,1775.8,1778.1
1266271200,1778.1,1802.1,1778.1,1800.1
1266357600,1800.1,1813.3,1798.1,1811.6
1266444000,1811.6,1825.3,1805.3,1809.3
1266530400,1809.3,1830.5,1801.5,1819.5
1266789600,1819.5,1833.2,1810.7,1820
1266876000,1820,1829.5,1785.7,1800.4
1266962400,1800.4,1820.2,1796.9,1813.2
1267048800,1813.2,1816.4,1781.2,1812.4
1267135200,1812.4,1822.6,1804.1,1822.6
1267394400,1822.6,1848.6,1821.6,1845.3
1267480800,1845.3,1862.6,1842.8,1853.1
1267567200,1853.1,1861.6,1846,1850.8
1267653600,1850.8,1861,1844.5,1858.3
1267740000,1858.3,1889.8,1857.5,1885
1267999200,1885,1895,1883.5,1888.7
1268085600,1888.7,1912.2,1881.4,1902.2
1268172000,1902.2,1921.2,1900.2,1917.7
1268258400,1917.7,1926.9,1909.4,1925.9
1268344800,1925.9,1932.4,1916.6,1926.1
1268600400,1926.1,1927.8,1906.6,1919.8
1268686800,1919.8,1934.5,1919.1,1930.3
1268773200,1930.3,1946.3,1930,1936.5
1268859600,1936.5,1945.5,1931.8,1944.5
1268946000,1944.5,1951,1924.9,1933.7
1269205200,1933.7,1956.9,1921.9,1951.1
1269291600,1951.1,1964.6,1943.1,1964.4
1269378000,1964.4,1964.6,1948.6,1953.6
1269464400,1953.6,1976.3,1947.8,1948.3
1269550800,1948.3,1965.5,1941.8,1952.8
1269810000,1952.8,1968.7,1952.8,1962.2
1269896400,1962.2,1974.4,1954.9,1965.2
1269982800,1965.2,1969.9,1954.9,1960.4
1270069200,1960.4,1979.6,1943.3,1956.1
1270155600,1956.1,1964.3,1951.1,1963.8
1270414800,1963.8,1981,1957.5,1976.5
1270501200,1976.5,1988,1967.5,1980.2
1270587600,1980.2,1986.7,1966.7,1976.9
1270674000,1976.9,1984.7,1961.4,1981.4
1270760400,1981.4,1994.9,1977.1,1994.9
1271019600,1994.9,2003.8,1990,1993.3
1271106000,1993.3,2012.5,1986.3,2009.5
1271192400,2009.5,2029.8,2009.5,2029
1271278800,2029,2039.8,2020,2030.7
1271365200,2030.7,2037.2,1999.7,2010.9
1271624400,2010.9,2018.4,1987.6,2012.8
1271710800,2012.8,2042.1,2009.1,2041.1
1271797200,2041.1,2041.3,2019.5,2021.5
1271883600,2021.5,2046.8,2002.3,2035.8
1271970000,2035.8,2055.3,2031.3,2053.8
1272229200,2053.8,2060.4,2044.7,2049.2
1272315600,2049.2,2052.2,2000.3,2010.8
1272402000,2010.8,2024.1,1991.1,2008.6
1272488400,2008.6,2045.6,2006.3,2041.8
1272574800,2041.8,2048.6,1999.5,2005.5
1272834000,2005.5,2039.4,2000.7,2026.4
1272920400,2026.4,2029.9,1953.6,1971.1
1273006800,1971.1,1973.3,1936,1959.3
1273093200,1959.3,1964.3,1733.9,1879.2
1273179600,1879.2,1909,1807.2,1850.4
1273438800,1850.4,1944.4,1850.4,1943.7
1273525200,1943.7,1965.9,1916.1,1932.1
1273611600,1932.1,1977.1,1918.1,1968.3
1273698000,1968.3,1982.6,1939.6,1945.6
1273784400,1945.6,1951.5,1884.3,1910.8
