time,open,high,low,close
1261951200,5.595,5.993,5.595,5.963
1262037600,5.963,6.028,5.815,5.833
1262124000,5.833,5.92,5.663,5.665
1262210400,5.665,5.864,5.498,5.571
1262296800,5.571,5.571,5.568,5.571
1262556000,5.571,5.886,5.571,5.868
1262642400,5.868,5.868,5.609,5.672
1262728800,5.672,6.068,5.643,6.044
1262815200,6.044,6.101,5.758,5.822
1262901600,5.822,5.846,5.616,5.723
1263160800,5.741,5.741,5.367,5.456
1263247200,5.456,5.6,5.349,5.577
1263333600,5.577,5.78,5.428,5.754
1263420000,5.754,5.8,5.479,5.603
1263506400,5.603,5.728,5.515,5.689
1263765600,5.689,5.689,5.56,5.584
1263852000,5.584,5.683,5.441,5.568
1263938400,5.568,5.622,5.462,5.497
1264024800,5.497,5.717,5.478,5.638
1264111200,5.638,5.867,5.638,5.8
1264370400,5.812,5.853,5.671,5.717
1264456800,5.717,5.717,5.424,5.424
1264543200,5.424,5.481,5.221,5.264
1264629600,5.264,5.296,5.097,5.215
1264716000,5.215,5.322,5.13,5.175
1264975200,5.165,5.473,5.165,5.467
1265061600,5.467,5.571,5.41,5.47
1265148000,5.47,5.589,5.391,5.445
1265234400,5.445,5.53,5.255,5.501
1265320800,5.501,5.627,5.41,5.563
1265580000,5.552,5.704,5.419,5.44
1265666400,5.44,5.488,5.283,5.355
1265752800,5.355,5.401,5.26,5.322
1265839200,5.322,5.435,5.304,5.414
1265925600,5.414,5.574,5.221,5.47
1266184800,5.47,5.499,5.439,5.479
1266271200,5.479,5.572,5.316,5.349
1266357600,5.349,5.424,5.284,5.394
1266444000,5.394,5.429,5.143,5.15
1266530400,5.15,5.175,5.015,5.05
1266789600,5.051,5.051,4.844,4.909
1266876000,4.909,4.921,4.781,4.796
1266962400,4.796,4.906,4.766,4.842
1267048800,4.842,4.871,4.721,4.77
1267135200,4.77,4.831,4.717,4.763
1267394400,4.757,4.849,4.651,4.672
1267480800,4.672,4.735,4.637,4.699
1267567200,4.699,4.772,4.663,4.75
1267653600,4.75,4.768,4.539,4.571
1267740000,4.571,4.61,4.525,4.598
1267999200,4.589,4.589,4.444,4.557
1268085600,4.557,4.589,4.463,4.49
1268172000,4.49,4.582,4.439,4.576
1268258400,4.576,4.58,4.404,4.425
1268344800,4.425,4.457,4.367,4.37
1268600400,4.373,4.438,4.325,4.381
1268686800,4.381,4.413,4.315,4.327
1268773200,4.327,4.36,4.272,4.284
1268859600,4.284,4.285,4.048,4.08
1268946000,4.08,4.169,4.044,4.146
1269205200,4.148,4.163,4.033,4.117
1269291600,4.117,4.156,4.055,4.126
1269378000,4.126,4.138,4.049,4.089
1269464400,4.089,4.108,3.938,3.981
1269550800,3.981,3.994,3.859,3.861
1269810000,3.867,3.973,3.834,3.834
1269896400,3.834,3.965,3.8,3.962
1269982800,3.962,4.03,3.809,3.809
1270069200,3.809,4.109,3.766,4.065
1270155600,4.065,4.068,4.057,4.066
1270414800,4.066,4.27,3.963,4.262
1270501200,4.262,4.293,4.028,4.087
1270587600,4.087,4.135,3.975,3.975
1270674000,3.975,4.064,3.824,3.897
1270760400,3.897,4.069,3.874,4.045
1271019600,4.056,4.15,3.909,3.992
1271106000,3.992,4.139,3.923,4.12
1271192400,4.12,4.243,4.089,4.164
1271278800,4.164,4.192,3.946,3.995
1271365200,3.995,4.077,3.965,4.038
1271624400,4.034,4.061,3.887,3.939
1271710800,3.939,3.979,3.865,3.957
1271797200,3.957,4.032,3.922,3.976
1271883600,3.976,4.139,3.92,4.113
1271970000,4.113,4.31,4.059,4.255
1272229200,4.254,4.308,4.171,4.244
1272315600,4.244,4.295,4.194,4.224
1272402000,4.224,4.338,4.199,4.268
1272488400,4.268,4.303,3.894,3.918
1272574800,3.918,3.992,3.817,3.865
1272834000,3.869,3.95,3.829,3.941
1272920400,3.941,3.984,3.902,3.958
1273006800,3.958,3.98,3.869,3.919
1273093200,3.919,4.029,3.801,3.882
1273179600,3.882,3.984,3.847,3.944
1273438800,3.94,4.186,3.94,4.115
1273525200,4.115,4.179,4.065,4.11
1273611600,4.11,4.249,4.092,4.233
1273698000,4.233,4.372,4.117,4.273
1273784400,4.273,4.312,4.215,4.308
1274043600,4.303,4.381,4.253,4.379
1274130000,4.379,4.465,4.27,4.311
1274216400,4.311,4.317,4.11,4.148
1274302800,4.148,4.186,4.021,4.094
1274389200,4.094,4.155,4.004,4.041
1274648400,4.023,4.059,3.976,4.034
1274734800,4.034,4.076,3.96,4.07
1274821200,4.07,4.235,4.059,4.097
1274907600,4.097,4.257,4.08,4.248
1274994000,4.248,4.323,4.186,4.264
1275253200,4.264,4.319,4.242,4.302
1275339600,4.302,4.364,4.156,4.158
1275426000,4.158,4.376,4.154,4.371
1275512400,4.371,4.641,4.318,4.641
1275598800,4.641,4.911,4.547,4.736
1275858000,4.755,4.892,4.605,4.887
1275944400,4.887,4.936,4.694,4.739
1276030800,4.739,4.783,4.619,4.637
1276117200,4.637,4.758,4.581,4.651
1276203600,4.651,4.769,4.629,4.759
1276462800,4.748,5.004,4.748,5.004
1276549200,5.004,5.155,4.986,5.09
1276635600,5.09,5.16,4.932,4.986
1276722000,4.986,5.145,4.95,5.101
1276808400,5.101,5.158,4.959,4.99
1277067600,5,5.16,4.807,4.848
1277154000,4.848,4.869,4.675,4.763
1277240400,4.763,4.863,4.731,4.794
