time,open,high,low,close
1257285600,10.132,10.237,9.964,9.994
1257372000,9.994,10.002,9.721,9.734
1257458400,9.734,9.861,9.561,9.581
1257717600,9.581,9.758,9.523,9.721
1257804000,9.721,9.761,9.535,9.67
1257890400,9.67,9.875,9.65,9.743
1257976800,9.743,9.975,9.625,9.918
1258063200,9.918,10.1,9.845,9.86
1258322400,9.86,10.127,9.86,10.087
1258408800,10.087,10.327,10.04,10.32
1258495200,10.32,10.5,10.245,10.3
1258581600,10.3,10.5,10.169,10.47
1258668000,10.47,10.51,10.324,10.454
1258927200,10.454,10.677,10.389,10.396
1259013600,10.396,10.501,10.329,10.471
1259100000,10.471,10.564,10.349,10.491
1259272800,10.491,10.576,10.218,10.531
1259532000,10.531,10.7,10.513,10.598
1259618400,10.598,10.793,10.533,10.585
1259704800,10.585,10.653,10.33,10.347
1259791200,10.347,10.515,10.34,10.492
1259877600,10.492,10.545,10.317,10.46
1260136800,10.46,10.622,10.392,10.554
1260223200,10.554,10.644,10.431,10.441
1260309600,10.441,10.521,10.221,10.284
1260396000,10.284,10.341,10.196,10.301
1260482400,10.301,10.418,10.206,10.348
1260741600,10.348,10.595,10.24,10.58
1260828000,10.58,10.69,10.5,10.553
1260914400,10.553,10.703,10.52,10.608
1261000800,10.608,10.638,10.16,10.215
1261087200,10.215,10.33,10.087,10.122
1261346400,10.122,10.204,10.001,10.011
1261432800,10.011,10.104,9.849,9.901
1261519200,9.901,10.007,9.888,9.983
1261605600,9.983,10.082,9.966,10.008
1261951200,10.008,10.335,9.977,10.32
1262037600,10.32,10.408,10.205,10.366
1262124000,10.366,10.439,10.271,10.357
1262210400,10.357,10.532,10.33,10.403
1262556000,10.403,10.668,10.403,10.5
1262642400,10.5,10.568,10.429,10.523
1262728800,10.523,10.606,10.435,10.502
1262815200,10.502,10.554,10.173,10.183
1262901600,10.183,10.218,10.062,10.125
1263160800,10.125,10.259,9.991,10.026
1263247200,10.026,10.069,9.627,9.714
1263333600,9.714,9.874,9.653,9.869
1263420000,9.869,9.875,9.691,9.761
1263506400,9.761,9.827,9.658,9.678
1263852000,9.678,9.783,9.573,9.588
1263938400,9.588,9.655,9.355,9.417
1264024800,9.417,9.542,9.417,9.48
1264111200,9.48,9.518,9.404,9.447
1264370400,9.447,9.511,9.305,9.363
1264456800,9.363,9.448,9.279,9.431
1264543200,9.431,9.431,9.24,9.275
1264629600,9.275,9.33,9.167,9.284
1264716000,9.284,9.324,9.096,9.113
1264975200,9.113,9.208,9.043,9.074
1265061600,9.074,9.261,9.014,9.222
1265148000,9.222,9.302,9.043,9.068
1265234400,9.068,9.124,8.964,9.117
1265320800,9.117,9.18,9.055,9.125
1265580000,9.125,9.365,9.125,9.265
1265666400,9.265,9.408,9.169,9.219
1265752800,9.219,9.367,9.157,9.349
1265839200,9.349,9.474,9.33,9.393
1265925600,9.393,9.436,9.232,9.431
1266271200,9.431,9.635,9.427,9.605
1266357600,9.605,9.615,9.456,9.509
1266444000,9.509,9.555,9.397,9.42
1266530400,9.42,9.463,9.296,9.429
1266789600,9.429,9.604,9.429,9.59
1266876000,9.59,9.754,9.497,9.509
1266962400,9.509,9.602,9.428,9.532
1267048800,9.532,9.553,9.335,9.38
1267135200,9.38,9.55,9.378,9.535
1267394400,9.535,9.592,9.449,9.553
1267480800,9.553,9.604,9.492,9.549
1267567200,9.549,9.63,9.535,9.565
1267653600,9.565,9.565,9.292,9.334
1267740000,9.334,9.414,9.303,9.36
1267999200,9.36,9.45,9.31,9.42
1268085600,9.42,9.42,9.275,9.404
1268172000,9.404,9.566,9.343,9.509
1268258400,9.509,9.552,9.218,9.23
1268344800,9.23,9.308,9.159,9.177
1268600400,9.177,9.264,9.149,9.24
1268686800,9.24,9.412,9.237,9.372
1268773200,9.372,9.555,9.353,9.532
1268859600,9.532,9.558,9.406,9.536
1268946000,9.536,9.574,9.458,9.547
