time,open,high,low,close
1256158800,0.23039,0.23039,0.22022,0.2208
1256245200,0.2208,0.22534,0.21866,0.21973
1256504400,0.21973,0.22742,0.21775,0.22187
1256590800,0.22187,0.22336,0.21667,0.21687
1256677200,0.21687,0.21687,0.20888,0.21004
1256763600,0.21004,0.21922,0.21004,0.21798
1256850000,0.21798,0.21975,0.21296,0.21863
1257112800,0.21863,0.22662,0.21863,0.22405
1257199200,0.22405,0.23066,0.22218,0.2296
1257285600,0.2296,0.23071,0.22641,0.22747
1257372000,0.22747,0.23032,0.21591,0.21995
1257458400,0.21995,0.22192,0.21463,0.21512
1257717600,0.21512,0.22052,0.21467,0.21534
1257804000,0.21534,0.21867,0.20983,0.21243
1257890400,0.21243,0.22039,0.21243,0.21857
1257976800,0.21857,0.2218,0.21564,0.21952
1258063200,0.21952,0.22033,0.21668,0.21844
1258322400,0.21844,0.22522,0.21844,0.22436
1258408800,0.22436,0.22436,0.22036,0.22328
1258495200,0.22328,0.22866,0.22293,0.22422
1258581600,0.22422,0.22504,0.218,0.21841
1258668000,0.21841,0.22232,0.21489,0.21693
1258927200,0.21693,0.22158,0.21329,0.21426
1259013600,0.21426,0.21857,0.21296,0.21433
1259100000,0.21433,0.21915,0.21245,0.21847
1259272800,0.21847,0.22172,0.20667,0.22065
1259532000,0.22065,0.22308,0.21699,0.22021
1259618400,0.22021,0.22279,0.21853,0.22125
1259704800,0.22125,0.22492,0.21937,0.22444
1259791200,0.22444,0.22885,0.22014,0.22413
1259877600,0.22413,0.22525,0.21691,0.2176
1260136800,0.2176,0.22071,0.21731,0.21734
1260223200,0.21734,0.21962,0.21605,0.21663
1260309600,0.21663,0.22038,0.21496,0.21505
1260396000,0.21505,0.22759,0.21505,0.2273
1260482400,0.2273,0.23468,0.22512,0.23458
1260741600,0.23458,0.24759,0.23391,0.24594
1260828000,0.24594,0.25077,0.23958,0.24154
1260914400,0.24154,0.25507,0.24154,0.25391
1261000800,0.25391,0.26151,0.24842,0.26024
1261087200,0.26024,0.26293,0.25163,0.25477
1261346400,0.25477,0.25794,0.24878,0.25005
1261432800,0.25005,0.2605,0.24532,0.25962
1261519200,0.25962,0.26113,0.25528,0.25931
1261605600,0.25931,0.26507,0.25927,0.26458
1261951200,0.26458,0.26837,0.26446,0.26584
1262037600,0.26584,0.26932,0.26162,0.26269
1262124000,0.26269,0.26856,0.2602,0.26386
1262210400,0.26386,0.26765,0.26052,0.26091
1262556000,0.26091,0.27324,0.26091,0.27041
1262642400,0.27041,0.27864,0.26853,0.27109
1262728800,0.27109,0.28051,0.26821,0.27934
1262815200,0.27934,0.28452,0.27432,0.2756
1262901600,0.2756,0.27873,0.26852,0.26901
1263160800,0.26901,0.27289,0.26279,0.26545
1263247200,0.26545,0.27547,0.26452,0.27194
1263333600,0.27194,0.27853,0.26983,0.27637
1263420000,0.27637,0.27919,0.27292,0.27341
1263506400,0.27341,0.27428,0.26925,0.274
1263852000,0.274,0.28681,0.274,0.28592
1263938400,0.28592,0.29073,0.28206,0.28918
1264024800,0.28918,0.2945,0.28326,0.28464
1264111200,0.28464,0.28927,0.28126,0.28296
1264370400,0.28296,0.29769,0.28123,0.29393
1264456800,0.29393,0.29706,0.28879,0.28909
1264543200,0.28909,0.29095,0.2787,0.27989
1264629600,0.27989,0.29107,0.27989,0.29087
1264716000,0.29087,0.30037,0.28915,0.29295
1264975200,0.29295,0.30134,0.28949,0.29018
1265061600,0.29018,0.29571,0.28641,0.29257
1265148000,0.29257,0.29411,0.28225,0.28304
1265234400,0.28304,0.2832,0.27371,0.27401
1265320800,0.27401,0.27845,0.25513,0.26249
1265580000,0.26249,0.26948,0.26145,0.26823
1265666400,0.26823,0.27277,0.26553,0.26713
1265752800,0.26713,0.27056,0.26263,0.26613
1265839200,0.26613,0.27527,0.26409,0.27378
1265925600,0.27378,0.27811,0.26591,0.2682
1266271200,0.2682,0.27394,0.2682,0.27049
1266357600,0.27049,0.27188,0.2576,0.26053
1266444000,0.26053,0.26272,0.25242,0.26201
1266530400,0.26201,0.26369,0.25651,0.26348
1266789600,0.26348,0.2663,0.24283,0.24586
1266876000,0.24586,0.24867,0.23745,0.23885
1266962400,0.23885,0.24781,0.23821,0.24659
