time,open,high,low,close
1257804000,5.095,5.164,4.975,5.112
1257890400,5.112,5.297,5.093,5.201
1257976800,5.201,5.317,5.123,5.214
1258063200,5.214,5.306,5.179,5.301
1258322400,5.301,5.549,5.301,5.534
1258408800,5.534,5.665,5.47,5.653
1258495200,5.653,5.747,5.57,5.573
1258581600,5.573,5.63,5.417,5.546
1258668000,5.546,5.641,5.455,5.503
1258927200,5.503,5.727,5.498,5.5
1259013600,5.5,5.531,5.254,5.266
1259100000,5.266,5.479,5.266,5.413
1259272800,5.413,5.451,5.254,5.439
1259532000,5.439,5.635,5.439,5.583
1259618400,5.583,5.72,5.548,5.583
1259704800,5.583,5.593,5.455,5.517
1259791200,5.517,5.561,5.446,5.466
1259877600,5.466,5.51,5.312,5.345
1260136800,5.345,5.366,5.237,5.245
1260223200,5.245,5.314,5.153,5.173
1260309600,5.173,5.208,5.109,5.141
1260396000,5.141,5.234,5.099,5.119
1260482400,5.119,5.222,5.114,5.222
1260741600,5.222,5.297,5.141,5.256
1260828000,5.256,5.288,5.183,5.185
1260914400,5.185,5.26,5.105,5.219
1261000800,5.219,5.219,4.976,5.042
1261087200,5.042,5.121,4.985,5.104
1261346400,5.104,5.132,5.03,5.035
1261432800,5.035,5.088,5,5.066
1261519200,5.066,5.134,5.04,5.134
1261605600,5.134,5.154,5.053,5.114
1261951200,5.114,5.353,5.079,5.35
1262037600,5.35,5.383,5.25,5.26
1262124000,5.26,5.349,5.25,5.289
1262210400,5.289,5.351,5.257,5.276
1262556000,5.276,5.469,5.276,5.435
1262642400,5.435,5.473,5.381,5.389
1262728800,5.389,5.537,5.373,5.53
1262815200,5.53,5.54,5.424,5.425
1262901600,5.425,5.563,5.332,5.544
1263160800,5.544,5.616,5.506,5.606
1263247200,5.606,5.606,5.088,5.259
1263333600,5.259,5.261,5.08,5.229
1263420000,5.229,5.254,5.143,5.158
1263506400,5.158,5.158,4.984,4.991
1263852000,4.991,5.047,4.869,4.894
1263938400,4.894,4.916,4.758,4.886
1264024800,4.886,4.907,4.836,4.905
1264111200,4.905,4.926,4.822,4.889
1264370400,4.889,4.952,4.875,4.893
1264456800,4.893,4.918,4.831,4.838
1264543200,4.838,4.867,4.749,4.766
1264629600,4.766,4.812,4.751,4.785
1264716000,4.785,4.806,4.654,4.654
1264975200,4.654,4.766,4.654,4.672
1265061600,4.672,4.854,4.672,4.809
1265148000,4.809,4.877,4.617,4.636
1265234400,4.636,4.754,4.601,4.702
1265320800,4.702,4.702,4.608,4.679
1265580000,4.679,4.83,4.679,4.786
1265666400,4.786,4.825,4.711,4.768
1265752800,4.768,4.97,4.752,4.906
1265839200,4.906,4.96,4.811,4.863
1265925600,4.863,4.883,4.749,4.808
1266271200,4.808,5.044,4.808,5.002
1266357600,5.002,5.002,4.882,4.904
1266444000,4.904,4.946,4.79,4.795
1266530400,4.795,4.866,4.738,4.846
1266789600,4.846,5.006,4.819,4.956
1266876000,4.956,4.983,4.879,4.891
1266962400,4.891,4.992,4.867,4.973
1267048800,4.973,4.975,4.852,4.867
1267135200,4.867,5.043,4.867,5.043
1267394400,5.043,5.105,4.855,4.91
1267480800,4.91,4.954,4.852,4.899
1267567200,4.899,5.021,4.899,5.018
1267653600,5.018,5.018,4.873,4.893
1267740000,4.893,4.952,4.81,4.81
1267999200,4.81,4.866,4.81,4.866
1268085600,4.866,4.866,4.778,4.78
1268172000,4.78,4.78,4.685,4.712
1268258400,4.712,4.712,4.659,4.689
1268344800,4.689,4.767,4.68,4.757
1268600400,4.757,4.778,4.683,4.696
1268686800,4.696,4.8,4.696,4.783
1268773200,4.783,4.893,4.764,4.865
1268859600,4.865,4.865,4.759,4.813
1268946000,4.813,4.819,4.745,4.763
1269205200,4.763,4.846,4.743,4.782
1269291600,4.782,4.81,4.681,4.681
1269378000,4.681,4.711,4.644,4.684
1269464400,4.684,4.705,4.573,4.585
1269550800,4.585,4.615,4.569,4.577
1269810000,4.577,4.644,4.572,4.576
1269896400,4.576,4.666,4.572,4.666
1269982800,4.666,4.675,4.438,4.448
1270069200,4.448,4.516,4.435,4.501
1270414800,4.501,4.538,4.416,4.485
1270501200,4.485,4.644,4.434,4.578
1270587600,4.578,4.742,4.512,4.698
1270674000,4.698,4.698,4.618,4.642
1270760400,4.642,4.733,4.577,4.612
1271019600,4.612,4.695,4.612,4.624
1271106000,4.624,4.719,4.589,4.709
1271192400,4.709,4.775,4.661,4.696
1271278800,4.696,4.781,4.682,4.759
1271365200,4.759,4.87,4.72,4.85
1271624400,4.85,4.852,4.631,4.631
1271710800,4.631,4.836,4.631,4.831
1271797200,4.831,4.865,4.783,4.838
1271883600,4.838,4.961,4.775,4.954
1271970000,4.954,4.96,4.866,4.883
1272229200,4.883,4.997,4.574,4.734
1272315600,4.734,4.787,4.69,4.753
1272402000,4.753,4.816,4.687,4.734
1272488400,4.734,4.929,4.734,4.815
1272574800,4.815,4.916,4.799,4.916
1272834000,4.916,4.933,4.789,4.884
1272920400,4.884,4.99,4.808,4.99
1273006800,4.99,5.001,4.916,4.994
1273093200,4.994,5.003,4.888,4.956
1273179600,4.956,5.052,4.889,5.002
1273438800,5.002,5.024,4.82,4.82
1273525200,4.82,4.869,4.803,4.856
1273611600,4.856,4.957,4.818,4.818
1273698000,4.818,4.824,4.7,4.71
1273784400,4.71,4.738,4.633,4.635
1274043600,4.635,4.673,4.592,4.619
1274130000,4.619,4.662,4.591,4.615
1274216400,4.615,4.651,4.585,4.622
1274302800,4.622,4.654,4.549,4.63
1274389200,4.63,4.683,4.598,4.659
1274648400,4.659,4.696,4.598,4.601
1274734800,4.601,4.606,4.503,4.525
1274821200,4.525,4.652,4.525,4.554
1274907600,4.554,4.676,4.527,4.641
1274994000,4.641,4.677,4.509,4.519
1275339600,4.519,4.561,4.442,4.455
1275426000,4.455,4.495,4.372,4.372
1275512400,4.372,4.429,4.358,4.368
1275598800,4.368,4.395,4.307,4.307
1275858000,4.307,4.342,4.271,4.276
1275944400,4.276,4.324,4.272,4.282
1276030800,4.282,4.32,4.216,4.248
1276117200,4.248,4.336,4.229,4.289
1276203600,4.289,4.449,4.238,4.367
1276462800,4.367,4.512,4.367,4.485
1276549200,4.485,4.528,4.426,4.489
1276635600,4.489,4.646,4.479,4.589
1276722000,4.589,4.62,4.503,4.6
1276808400,4.6,4.668,4.556,4.572
1277067600,4.572,4.664,4.525,4.593
1277154000,4.593,4.611,4.531,4.579
1277240400,4.579,4.66,4.557,4.595
1277326800,4.595,4.676,4.585,4.604
1277413200,4.604,4.622,4.53,4.535
1277672400,4.535,4.536,4.422,4.474
1277758800,4.474,4.474,4.383,4.403
1277845200,4.403,4.723,4.398,4.661
1277931600,4.661,4.834,4.594,4.827
1278018000,4.827,4.905,4.797,4.873
1278363600,4.873,5.1,4.867,4.94
1278450000,4.94,5.161,4.91,5.161
1278536400,5.161,5.337,5.092,5.335
1278622800,5.335,5.335,5.191,5.214
1278882000,5.214,5.243,5.198,5.198
1278968400,5.198,5.364,5.198,5.362
1279054800,5.362,5.519,5.316,5.444
1279141200,5.444,5.839,5.418,5.832
1279227600,5.832,5.832,5.649,5.749
1279486800,5.749,5.84,5.621,5.677
1279573200,5.677,5.678,5.599,5.641
1279659600,5.641,5.809,5.612,5.729
1279746000,5.729,5.968,5.71,5.826
1279832400,5.826,5.907,5.807,5.841
1280091600,5.841,5.841,5.728,5.779
1280178000,5.779,5.921,5.709,5.833
1280264400,5.833,6.112,5.804,6.022
1280350800,6.022,6.198,6.013,6.157
1280437200,6.157,6.508,6.14,6.483
1280696400,6.483,6.982,6.46,6.771
1280782800,6.771,6.856,6.634,6.693
1280869200,6.693,7.2,6.669,7.156
1280955600,7.156,7.732,7.124,7.732
1281042000,7.732,8.277,7.144,7.144
