time,open,high,low,close
1260914400,361,376.5,360,372
1261000800,372,374.5,366,366.5
1261087200,366.5,371,360.5,365.5
1261346400,362,369.5,362,365
1261432800,365,365.5,353.5,358.5
1261519200,358.5,361.5,346,361.5
1261605600,361.5,387.5,356,386.5
1261692000,386.5,387.5,386,386.5
1261951200,386.5,389,381,388.5
1262037600,388.5,390.5,386,388
1262124000,388,398.5,385,395.5
1262210400,395.5,408.5,392,408
1262296800,408,408,405.5,408
1262556000,408,425,407,419.5
1262642400,419.5,426.5,418,423
1262728800,423,430,418.5,427.5
1262815200,427.5,435,423,425.5
1262901600,425.5,431.5,422.75,424.5
1263160800,428,433.5,426,432.5
1263247200,432.5,443.5,430,432
1263333600,432,432,415.5,422
1263420000,422,448,420.5,443.5
1263506400,443.5,452.5,440,449
1263765600,455,459.5,452.5,459.5
1263852000,459.5,464,455,461.5
1263938400,461.5,468.5,450,456
1264024800,456,474.5,450,456
1264111200,456,457.5,426,439
1264370400,433,445,433,438.5
1264456800,438.5,444.5,424,429.5
1264543200,429.5,431,417.5,420.5
1264629600,420.5,428,411,419.5
1264716000,419.5,424,410,413.5
1264975200,415.5,427,415,423.5
1265061600,423.5,444,423.5,441
1265148000,441,449,438.5,440.5
1265234400,440.5,441.5,405,412
1265320800,412,413.5,383,392
1265580000,405,409,398.75,405
1265666400,405,419,404.5,417
1265752800,417,424,408,411
1265839200,411,421,409.5,421
1265925600,421,422.5,410,417
1266184800,417,421,417,421
1266271200,421,434,420.5,433
1266357600,433,441.5,430.5,436.5
1266444000,436.5,439.5,426.5,435
1266530400,435,441,427,441
1266789600,439.5,447,435,438
1266876000,438,449.25,434.5,434.5
1266962400,434.5,435,425.5,426
1267048800,426,428,416.75,422.5
1267135200,422.5,434,419.5,433
1267394400,432.5,441.5,432,438
1267480800,438,444.5,434,444.5
1267567200,444.5,450,441,449
1267653600,449,463,447,458.5
1267740000,458.5,477,457.5,473
1267999200,478,481,469,471.5
1268085600,471.5,475,455,472
1268172000,472,477,462.5,466.5
1268258400,466.5,466.5,447,461
1268344800,461,469.5,455.5,462.5
1268600400,462.5,465.5,456.5,460
1268686800,460,476,459.25,473.5
1268773200,473.5,478.5,468.75,477.5
1268859600,477.5,482,473,479.5
1268946000,479.5,481,465.5,469.5
1269205200,469.5,470.7,453,460.5
1269291600,460.5,466,449.5,464
1269378000,464,467,446.5,454
1269464400,454,454,440.25,453
1269550800,453,462,449,455.5
1269810000,458.5,477,454.5,474.5
1269896400,474.5,475.5,470,470.5
1269982800,470.5,486,469,479
1270069200,479,495.5,476.5,491
1270155600,491,493,488,492.5
1270414800,492,512,489,507
1270501200,507,511,496,508
1270587600,508,514,504,512
1270674000,512,512.5,498,502
1270760400,502,513,501,512.5
1271019600,512.5,525,512,523
1271106000,523,523.5,509,520
1271192400,520,550.5,520,547
1271278800,547,550,540.5,546
1271365200,546,546,525.5,532.5
1271624400,529.5,534.5,518.5,533
1271710800,533,553,531.5,551.5
1271797200,551.5,571,550,568
1271883600,568,571.5,552,563.5
1271970000,563.5,567,553,563
1272229200,563,573,562,565
1272315600,565,570.5,546,549
1272402000,549,554,534,541.5
1272488400,541.5,552.5,539,548.5
1272574800,548.5,559,548.5,554.5
1272834000,550.5,554,540.5,548
1272920400,548,548,512,515.5
1273006800,515.5,522.5,485.5,508
1273093200,508,517.5,502,513.5
1273179600,513.5,514.5,494.5,510
1273438800,512.5,534,512,525
1273525200,525,533,512.5,532
1273611600,532,549,526,546.5
1273698000,546.5,549,535.5,542.5
1273784400,542.5,543.5,522,526.5
1274043600,526,527,499.5,504.5
1274130000,504.5,510,498.5,507.5
1274216400,507.5,507.5,452.75,459.5
1274302800,459.5,464.75,407.5,409.5
1274389200,409.5,447.25,395.5,438
1274648400,436,457,431.75,453.5
1274734800,453.5,454.5,423.25,429.25
1274821200,429.25,453.5,427.5,446.5
1274907600,446.5,464,434,463
1274994000,463,472.5,453.5,462.5
1275253200,458.5,469,454.75,468.5
1275339600,468.5,469.5,453,461.5
1275426000,461.5,463,447,452.5
1275512400,452.5,464.5,446.5,450
1275598800,450,453.5,426,431
1275858000,426.25,429,419,428.5
1275944400,428.5,443.5,427,442
1276030800,442,457.5,439,454.5
1276117200,454.5,457.5,445.5,448
1276203600,448,459.5,446,447.5
1276462800,448.5,462.5,448.5,462
1276549200,462,474.5,456,473
1276635600,473,475,466.5,474
1276722000,474,483,467.5,480.5
1276808400,480.5,492,475.5,490
1277067600,490,506,490,494.5
1277154000,494.5,496,478,489
1277240400,489,489.5,471,474.5
1277326800,474.5,480,464.5,471
1277413200,471,478,465,478
1277672400,478.5,484,471.5,472
1277758800,472,473,453.5,456
1277845200,456,462,441,444
1277931600,444,446,425,430.5
1278018000,430.5,440,427.5,427.5
1278277200,432.5,433,428.25,430.5
1278363600,430.5,444.5,429,441
1278450000,441,443,428.5,441.5
1278536400,441.5,453.5,436,445
1278622800,445,459.5,443,456
1278882000,459.5,460,451,453.5
1278968400,453.5,469,452.5,469
1279054800,469,470.5,463,465
1279141200,465,472,464.5,467
1279227600,467,469.5,447,449
1279486800,449,457,441.5,445
1279573200,445,452,435.5,450.5
1279659600,450.5,455.5,448,453
1279746000,453,458.5,444.5,456.5
1279832400,456.5,467.5,456,466
1280091600,464.5,478.5,464.5,474
1280178000,474,478.5,465.5,465.5
1280264400,465.5,473,465,469.5
1280350800,469.5,490.5,468,490.5
1280437200,490.5,499.5,481,498.5
1280696400,498,516.5,496.75,514.5
1280782800,514.5,515.5,505.5,505.5
1280869200,505.5,508,497,499.5
1280955600,499.5,501.5,489,497
1281042000,497,508.75,487.5,487.5
1281301200,491,493,479.5,480.5
1281387600,480.5,483.25,472.5,473.5
1281474000,473.5,481.5,465,465
1281560400,465,475.5,459.25,471
1281646800,471,476.5,468.25,476.5
1281906000,477.5,485.5,476.5,485
1281992400,485,498,480,496.5
1282078800,496.5,498.25,482.5,490.5
1282165200,490.5,496.5,485,485
1282251600,485,487,474,476.5
1282510800,475.5,483.5,475.5,482.5
1282597200,482.5,487,473.5,484.5
1282683600,484.5,491.5,483.5,491.5
1282770000,491.5,507.5,491.5,503.5
1282856400,503.5,505,498,501.5
1283115600,504.5,508,498.5,499
1283202000,499,504,487,502
1283288400,502,527,499,519
1283374800,519,524.5,515,523
1283461200,523,532.5,521.5,531
1283720400,530.5,532,527,527
1283806800,527,529.5,520.5,521.5
1283893200,521.5,528,519.5,527
1283979600,527,528.5,519.5,521
1284066000,521,525,512,519.5
1284325200,520.5,529,515,529
1284411600,529,553.5,527.5,552
1284498000,552,563.5,540.5,561.5
1284584400,561.5,563.5,549,549.5
1284670800,549.5,556.5,542,546
1285016400,542.5,547.5,542.5,543
1285102800,543,547,533.5,543.5
1285189200,543.5,556.5,535.5,556.5
1285275600,556.5,562.5,551.5,560.5
1285534800,559.5,562.5,552.5,552.5
1285621200,552.5,560,540,560
1285707600,560,572,560,567
1285794000,567,580,557,566
1285880400,566,578.5,562.5,573.5
1286139600,574,574,560,560
1286226000,560,578,555.5,578
1286312400,578,593,577.5,588
1286398800,588,604,580,587
1286485200,587,592,570,587
1286744400,585,592,583,584.5
1286830800,584.5,592,576,580
1286917200,580,595.5,578,594
1287003600,594,604.25,593,601
1287090000,601,604.75,587,589
1287349200,589,592.5,567.5,587.5
1287435600,587.5,593,568.5,578
1287522000,578,590.5,569.75,590
1287608400,590,599.5,584,588
1287694800,588,594,578.5,589.5
1287954000,590.5,620,590,609
1288040400,609,626.5,603.5,625.5
1288126800,625.5,638.25,617.5,618
1288213200,618,631.5,613.5,629
1288299600,629,646.5,627.25,645.5
1288558800,647.5,656,645.5,649
1288645200,649,655,643,645
1288731600,645,647.5,632.75,642
1288818000,642,676,634,674.5
1288904400,674.5,699.5,669.5,685
1289167200,684.5,712.5,680,712.5
1289253600,712.5,736.5,703.5,735.5
1289340000,735.5,743,676.5,711.5
1289426400,711.5,722,693,707.5
1289512800,707.5,714,677,680
1289772000,678,689,665,685.5
1289858400,685.5,685.5,637.5,643.5
1289944800,643.5,663.5,627,656.5
1290031200,656.5,696.5,651,692
1290117600,692,706.5,687.5,697.5
1290376800,702.5,714,684.5,686
1290463200,686,694.5,660,684.5
1290549600,684.5,701,683.5,694.5
1290636000,694.5,700,692,698.5
1290722400,698.5,701,666,677.5
1290981600,680.5,693.5,669.75,691.5
1291068000,691.5,706.5,686,699.5
1291154400,699.5,729,694.25,727
1291240800,727,770,726.5,768
1291327200,768,778.5,755.5,767.5
1291586400,768.5,775,755.5,756.5
1291672800,756.5,774,745.5,747
1291759200,747,747,716.5,729.5
1291845600,729.5,752,725.5,744.5
1291932000,744.5,747,726,736.5
1292191200,734.5,765.5,733,754.5
1292277600,754.5,764,752,758
1292364000,758,768,755.5,761
1294005600,761,808,761,804.5
1294092000,804.5,805,766.5,778
1294178400,778,780,750,765.5
1294264800,765.5,778,759.5,765
1294351200,765,765.5,740,758
1294610400,751,763.5,748,754
1294696800,754,782.5,746.5,781.5
1294783200,781.5,806.5,779.5,803
1294869600,803,822.5,803,811.5
1294956000,811.5,815,787.5,791.5
1295215200,794,801,784,796
1295301600,796,810.75,790.5,810.5
1295388000,810.5,828,806.25,821.5
1295474400,821.5,822.5,795.5,808.5
1295560800,808.5,820,803,814.5
1295820000,822.25,828,810,819
1295906400,819,819,778.5,779
1295992800,779,800,778.5,795
1296079200,795,817.5,793.5,806.5
1296165600,806.5,815.5,791.5,815
1296424800,816,817,804.5,813
1296511200,813,824.5,810.5,820.5
1296597600,820.5,828,816,816
1296684000,816,817,806,812.5
1296770400,812.5,828,812.5,819
1297029600,814,824,813,819
1297116000,819,837.5,816,837.5
1297202400,837.5,839.25,827,827.5
1297288800,827.5,834.25,816.25,824.75
1297375200,824.75,828,816,816
1297634400,813.5,835.5,809.5,832
1297720800,832,849.5,827.5,838
1297807200,838,845.5,836,840.5
1297893600,840.5,846,835.5,842
1297980000,842,856.5,840.5,855
1298239200,850.75,862,847,861.5
1298325600,861.5,861.5,819.5,819.5
1298412000,819.5,819.5,785.5,795
1298498400,795,795.5,760.25,776.75
1298584800,776.75,790.5,773.25,790.5
1298844000,790.5,803.75,788.75,795
1298930400,795,814.5,795,814
1299016800,814,825,809,823.5
1299103200,823.5,823.5,815,820
1299189600,820,821,799.75,808
1299448800,812,819.5,782.5,787
1299535200,787,793,775.5,788.5
1299621600,788.5,800.5,784,787
1299708000,787,787,761.5,767
1299794400,767,772.75,744,758
1300050000,760,760,746.5,747.5
1300136400,747.5,749,695,705.5
1300222800,705.5,720.5,699,702
1300309200,702,719.5,687,716.5
1300395600,716.5,732,707.5,732
1300654800,730.5,746.25,730.5,743.75
1300741200,743.75,749,732.5,737
1300827600,737,751,735.5,749
1300914000,749,760.5,744.5,752
1301000400,752,756,745.5,750
1301259600,750,750,736.5,745.5
1301346000,745.5,757,739.5,750
1301432400,750,761,747.5,758
1301518800,758,771,751.5,768
1301605200,768,776.5,762,774.5
1301864400,774.5,788.5,774.5,784
1301950800,784,793,778.5,793
1302037200,793,798.5,784,784
1302123600,784,792.5,775.5,780
1302210000,780,803,768.5,795
1302469200,796.5,804.75,779.5,789
1302555600,789,789,765.5,769.5
1302642000,769.5,775.5,760,765
1302728400,765,774.5,757,774
1302814800,774,778.5,767.5,769
1303074000,767,769.5,735.5,739
1303160400,739,746,726.5,733
1303246800,733,761.5,730.5,758.5
1303333200,758.5,770.5,754.5,768.5
