time,open,high,low,close
1260828000,1440.5,1451.5,1429.5,1447.5
1260914400,1447.5,1460.5,1438,1457
1261000800,1457,1460.5,1424,1424
1261087200,1424,1441,1419,1424.5
1261346400,1430,1435.5,1420,1423.5
1261432800,1423.5,1429,1383,1389.5
1261519200,1389.5,1412.5,1388,1412.5
1261605600,1412.5,1469.5,1412,1464.5
1261692000,1464.5,1464.5,1460.5,1462.5
1261951200,1462.5,1490.5,1462.5,1483
1262037600,1483,1485.5,1465.5,1468
1262124000,1468,1473.5,1453.5,1462.5
1262210400,1462.5,1474.5,1447.5,1469
1262296800,1469,1470.5,1462.5,1468
1262556000,1468,1518.5,1467.5,1512.5
1262642400,1512.5,1532.5,1511.5,1529.5
1262728800,1529.5,1563,1518,1553.5
1262815200,1553.5,1563.5,1538,1554
1262901600,1554,1577.5,1534.5,1568.5
1263160800,1577,1594.5,1566.5,1594.5
1263247200,1594.5,1627,1580,1598
1263333600,1598,1601,1556,1563.5
1263420000,1563.5,1613,1562.5,1604
1263506400,1604,1622,1597.5,1605.5
1263765600,1601.5,1626.5,1595.5,1626.5
1263852000,1626.5,1648.5,1621,1624
1263938400,1624,1655,1598,1614.5
1264024800,1614.5,1636,1592.5,1606
1264111200,1606,1615,1523.5,1544.5
1264370400,1549.5,1565,1533,1547
1264456800,1547,1562.5,1503.5,1532.5
1264543200,1532.5,1536.5,1507.5,1526.5
1264629600,1526.5,1527.5,1486.5,1508.5
1264716000,1508.5,1524.5,1487.5,1511.5
1264975200,1502.5,1542.5,1500.5,1536.5
1265061600,1536.5,1574.5,1535,1571
1265148000,1571,1592.5,1570.5,1573.5
1265234400,1573.5,1578,1505.5,1516.5
1265320800,1516.5,1517.5,1458,1458
1265580000,1482.5,1493.5,1471,1482.5
1265666400,1482.5,1506.5,1471,1505.5
1265752800,1505.5,1525.5,1494.5,1504.5
1265839200,1504.5,1527,1497.5,1519.5
1265925600,1519.5,1532.5,1489.5,1508.5
1266184800,1514.5,1523,1509.5,1515
1266271200,1515,1542,1512.5,1536.5
1266357600,1536.5,1554,1529,1531.5
1266444000,1531.5,1538.5,1503.5,1518.5
1266530400,1518.5,1533,1500.5,1526.5
1266789600,1531.5,1548.5,1520.5,1527
1266876000,1527,1547,1509.5,1509.5
1266962400,1509.5,1523.5,1497.5,1512.5
1267048800,1512.5,1524.5,1504.5,1517.5
1267135200,1517.5,1543.5,1517.5,1540.5
1267394400,1542.5,1564.5,1540.5,1551.5
