time,open,high,low,close
1245884400,3.68899989,3.68899989,3.68899989,3.68899989
1245970800,3.54399991,3.54399991,3.54399991,3.54399991
1246316400,3.48099995,3.48099995,3.48099995,3.48099995
1246402800,3.53699994,3.53699994,3.53699994,3.53699994
1246489200,3.5480001,3.5480001,3.5480001,3.5480001
1246575600,3.50200009,3.50200009,3.50200009,3.50200009
1246921200,3.50999999,3.50999999,3.50999999,3.50999999
1247007600,3.454,3.454,3.454,3.454
1247094000,3.30599999,3.30599999,3.30599999,3.30599999
1247180400,3.41300011,3.41300011,3.41300011,3.41300011
1247526000,3.3599999,3.3599999,3.3599999,3.3599999
1247612400,3.47399998,3.47399998,3.47399998,3.47399998
1247698800,3.61400008,3.61400008,3.61400008,3.61400008
1247785200,3.57299995,3.57299995,3.57299995,3.57299995
1248130800,3.61199999,3.61199999,3.61199999,3.61199999
1248217200,3.48399997,3.48399997,3.48399997,3.48399997
1248303600,3.54399991,3.54399991,3.54399991,3.54399991
1248390000,3.65799999,3.65799999,3.65799999,3.65799999
1248735600,3.7249999,3.7249999,3.7249999,3.7249999
1248822000,3.68600011,3.68600011,3.68600011,3.68600011
1248908400,3.66400003,3.66400003,3.66400003,3.66400003
1248994800,3.61500001,3.61500001,3.61500001,3.61500001
1249340400,3.63700008,3.63700008,3.63700008,3.63700008
1249426800,3.68700004,3.68700004,3.68700004,3.68700004
1249513200,3.76200008,3.76200008,3.76200008,3.76200008
1249599600,3.75600004,3.75600004,3.75600004,3.75600004
1249945200,3.77200007,3.77200007,3.77200007,3.77200007
1250031600,3.67199993,3.67199993,3.67199993,3.67199993
1250118000,3.71099997,3.71099997,3.71099997,3.71099997
1250204400,3.59699988,3.59699988,3.59699988,3.59699988
1250550000,3.47199988,3.47199988,3.47199988,3.47199988
1250636400,3.51699996,3.51699996,3.51699996,3.51699996
1250722800,3.45499992,3.45499992,3.45499992,3.45499992
1250809200,3.42799997,3.42799997,3.42799997,3.42799997
1251154800,3.47399998,3.47399998,3.47399998,3.47399998
1251241200,3.43799996,3.43799996,3.43799996,3.43799996
1251327600,3.43499994,3.43499994,3.43499994,3.43499994
1251414000,3.45300007,3.45300007,3.45300007,3.45300007
1251759600,3.40100002,3.40100002,3.40100002,3.40100002
1251846000,3.36999989,3.36999989,3.36999989,3.36999989
1251932400,3.30900002,3.30900002,3.30900002,3.30900002
1252018800,3.34800005,3.34800005,3.34800005,3.34800005
1252450800,3.48099995,3.48099995,3.48099995,3.48099995
1252537200,3.4749999,3.4749999,3.4749999,3.4749999
1252623600,3.35400009,3.35400009,3.35400009,3.35400009
1252969200,3.4230001,3.4230001,3.4230001,3.4230001
1253055600,3.44700003,3.44700003,3.44700003,3.44700003
1253142000,3.4749999,3.4749999,3.4749999,3.4749999
1253228400,3.38499999,3.38499999,3.38499999,3.38499999
1253574000,3.48200011,3.48200011,3.48200011,3.48200011
1253660400,3.44300008,3.44300008,3.44300008,3.44300008
1253746800,3.41499996,3.41499996,3.41499996,3.41499996
1253833200,3.3829999,3.3829999,3.3829999,3.3829999
1254178800,3.2809999,3.2809999,3.2809999,3.2809999
1254265200,3.29200006,3.29200006,3.29200006,3.29200006
1254351600,3.30500007,3.30500007,3.30500007,3.30500007
1254438000,3.18099999,3.18099999,3.18099999,3.18099999
1254783600,3.2190001,3.2190001,3.2190001,3.2190001
1254870000,3.25900006,3.25900006,3.25900006,3.25900006
1254956400,3.18600011,3.18600011,3.18600011,3.18600011
1255042800,3.24799991,3.24799991,3.24799991,3.24799991
1255388400,3.38599992,3.38599992,3.38599992,3.38599992
1255474800,3.352,3.352,3.352,3.352
1255561200,3.4230001,3.4230001,3.4230001,3.4230001
1255647600,3.46399999,3.46399999,3.46399999,3.46399999
1255993200,3.38700008,3.38700008,3.38700008,3.38700008
1256079600,3.34100008,3.34100008,3.34100008,3.34100008
1256166000,3.39299989,3.39299989,3.39299989,3.39299989
1256252400,3.421,3.421,3.421,3.421
1256598000,3.55800009,3.55800009,3.55800009,3.55800009
1256684400,3.4519999,3.4519999,3.4519999,3.4519999
1256770800,3.41499996,3.41499996,3.41499996,3.41499996
1256857200,3.49499989,3.49499989,3.49499989,3.49499989
1257206400,3.42400002,3.42400002,3.42400002,3.42400002
1257292800,3.4690001,3.4690001,3.4690001,3.4690001
1257379200,3.51999998,3.51999998,3.51999998,3.51999998
1257465600,3.52699995,3.52699995,3.52699995,3.52699995
1257811200,3.48399997,3.48399997,3.48399997,3.48399997
1257897600,3.47799993,3.47799993,3.47799993,3.47799993
1257984000,3.44400001,3.44400001,3.44400001,3.44400001
1258070400,3.44400001,3.44400001,3.44400001,3.44400001
1258416000,3.34899998,3.34899998,3.34899998,3.34899998
1258502400,3.32299995,3.32299995,3.32299995,3.32299995
1258588800,3.36599994,3.36599994,3.36599994,3.36599994
1258675200,3.34200001,3.34200001,3.34200001,3.34200001
1259020800,3.35299993,3.35299993,3.35299993,3.35299993
1259107200,3.3039999,3.3039999,3.3039999,3.3039999
1259193600,3.26799989,3.26799989,3.26799989,3.26799989
1259625600,3.19799995,3.19799995,3.19799995,3.19799995
1259712000,3.28399992,3.28399992,3.28399992,3.28399992
1259798400,3.31399989,3.31399989,3.31399989,3.31399989
1259884800,3.37899995,3.37899995,3.37899995,3.37899995
1260230400,3.4289999,3.4289999,3.4289999,3.4289999
1260316800,3.38400006,3.38400006,3.38400006,3.38400006
1260403200,3.43300009,3.43300009,3.43300009,3.43300009
1260489600,3.50099993,3.50099993,3.50099993,3.50099993
1260835200,3.55200005,3.55200005,3.55200005,3.55200005
1260921600,3.5940001,3.5940001,3.5940001,3.5940001
1261008000,3.59800005,3.59800005,3.59800005,3.59800005
1261094400,3.48200011,3.48200011,3.48200011,3.48200011
1261440000,3.68000007,3.68000007,3.68000007,3.68000007
1261526400,3.7579999,3.7579999,3.7579999,3.7579999
1261612800,3.75399995,3.75399995,3.75399995,3.75399995
1261699200,3.80500007,3.80500007,3.80500007,3.80500007
1262044800,3.84800005,3.84800005,3.84800005,3.84800005
1262131200,3.80299997,3.80299997,3.80299997,3.80299997
1262217600,3.79299998,3.79299998,3.79299998,3.79299998
1262304000,3.83699989,3.83699989,3.83699989,3.83699989
1262649600,3.82299995,3.82299995,3.82299995,3.82299995
1262736000,3.76300001,3.76300001,3.76300001,3.76300001
1262822400,3.829,3.829,3.829,3.829
1262908800,3.8269999,3.8269999,3.8269999,3.8269999
1263254400,3.82399988,3.82399988,3.82399988,3.82399988
1263340800,3.71700001,3.71700001,3.71700001,3.71700001
1263427200,3.79299998,3.79299998,3.79299998,3.79299998
1263513600,3.7420001,3.7420001,3.7420001,3.7420001
1263945600,3.69799995,3.69799995,3.69799995,3.69799995
1264032000,3.65300012,3.65300012,3.65300012,3.65300012
1264118400,3.59500003,3.59500003,3.59500003,3.59500003
1264464000,3.63000011,3.63000011,3.63000011,3.63000011
1264550400,3.62100005,3.62100005,3.62100005,3.62100005
1264636800,3.6500001,3.6500001,3.6500001,3.6500001
1264723200,3.64199996,3.64199996,3.64199996,3.64199996
1265068800,3.6559999,3.6559999,3.6559999,3.6559999
1265155200,3.6400001,3.6400001,3.6400001,3.6400001
1265241600,3.70700002,3.70700002,3.70700002,3.70700002
1265328000,3.6099999,3.6099999,3.6099999,3.6099999
1265673600,3.56200004,3.56200004,3.56200004,3.56200004
1265760000,3.64700007,3.64700007,3.64700007,3.64700007
1265846400,3.69000006,3.69000006,3.69000006,3.69000006
