time,open,high,low,close
1261665000,172.10001,173.22,171.65999,172.00999
1262010600,172.73,173.85001,170.32999,171.28999
1262097000,172.02,172.94,169.42,169.46999
1262183400,169.03999,169.11,167.01999,168.12
1262269800,168.85001,170.46001,168.25,168.25
1262615400,169.55,175.56,169.54999,174.01999
1262701800,174.05,177.25999,173.21999,176.01999
1262788200,176.84,182.64,176.82999,180.75999
1262874600,180.61,180.61,177.50999,179.20999
1262961000,179.36,181.74001,177.64,181.73999
1263220200,183.2,186.48,181.65999,182.62
1263306600,181.74001,181.77,174.51999,175.92
1263393000,176.49001,178.14999,172.89,177.92
1263479400,177.67999,177.8,174.75999,176.39999
1263565800,176.17,176.2,171.78999,172.78
1263911400,172.96001,174.00999,171.81,173.89999
1263997800,172.44,172.44,163.95999,167.28999
1264084200,166.86,166.86,159.40999,159.48999
1264170600,158.16,162.92999,156.03,158.78
1264429800,159.31,160.73,157.14999,157.23999
1264516200,156.64,159.12,154.7,156.07999
1264602600,155.72,156.78999,151.70999,154.73
1264689000,155.59,156.91,149.67,153.42
1264775400,153.32001,155.05,147.37999,147.92999
1265034600,148.3,156.14999,148.29999,156.12999
1265121000,157,158.64999,155.35999,156.54999
1265207400,156.3,158.28999,154.17999,154.75999
1265293800,153.78999,153.78999,145.84999,146.42
1265380200,146.36,154.42,144.54999,154.25
1265639400,154.44,155.17,149.10999,149.34
1265725800,150.75,157.07001,150.71999,155.06999
1265812200,155.06,155.89,151.03,154.57999
1265898600,155.14999,161.14999,154.37999,160.70999
1265985000,159.36,160.19,155.84,159.59999
1266330600,160.13,164.74001,160.12999,163.98999
1266417000,164.03,165.11,161.7,162.96999
1266503400,162.96001,166.72,162.85999,165.28999
1266589800,164.45,166.67999,162.93999,164.43999
1266849000,164.61,165.49001,161.59,162
1266935400,161.67999,162.2,155.5,156.45999
1267021800,156.28,158.46001,154.54999,155.42
1267108200,154.52,160.83,152.53,160
1267194600,160.64999,161.67,158.37999,161.39
1267453800,161.39999,164.5,160.31999,164.10999
1267540200,164.34,170.17,164.31999,167.95999
1267626600,168.67999,172.24001,168.64,170.28
1267713000,170.08,170.60001,166.46999,168.03
1267799400,168.86,171.52,168.84,170.81
1268058600,171.00999,172.73,168.82999,169.20999
1268145000,168.85001,169.89,167.25,168.21999
1268231400,168.46001,169.87,164.7,165.82999
1268317800,165.53,167.24001,163.45,167.23999
1268404200,167.62,168.59,165.14,166.03999
1268659800,165.82001,166.36,163.37,165.50999
1268746200,166.06,170.19,166.01999,169.92
1268832600,169.91,171.8,169.34999,169.76999
1268919000,169.86,171.92,167.51999,168.59999
1269005400,168.67,169.16,164.84999,165.98999
1269264600,165.36,166.67,162.35999,166.48999
1269351000,166.25999,168.34,164.09,167.01999
1269437400,165.71001,165.71001,160.76999,161.09999
1269523800,161.32001,163.13,158.14,158.31
1269610200,159.00999,162.31,158.40999,161.40999
1269869400,162.42,164.89,162.37999,164.53999
1269955800,164.85001,165.45,162.84999,163.71999
1270042200,163.88,166.41,163.82999,165.28
1270128600,166.41,171.38,166.39,171.28
1270474200,171.7,173.95,171.03,173.06999
1270560600,172.73,174.45,172.04999,172.57999
1270647000,172.64,177.07001,172.64,176.04999
1270733400,175.49001,176.33,173.84,175.95
1270819800,176.42999,178.21001,175.60999,177
1271079000,176.44,178.31,174.35999,174.95999
1271165400,174.58,174.62,170.75,173.70999
1271251800,174.62,176.12,173.53999,174.87
1271338200,174.69,175.31,172.81999,173.06
1271424600,172.59,172.61,166.20999,168.67
1271683800,168.05,168.47,165.23,168.46999
1271770200,168.88,171.06,167.96999,168.00999
1271856600,168.25999,169.53999,166.37999,168.60999
1271943000,168.03,170.57001,165.64,170.54999
1272029400,170.48,172.91,168.31999,172.42999
1272288600,172.87,174.44,171.98999,172.48999
1272375000,172.21001,173.49001,168.79999,171.89
1272461400,172.78,178.50999,172.18999,176.59999
1272547800,176.96001,179.89,176.48999,178.59
1272634200,178.94,182.24001,178.81,179.01999
1272893400,179.61,180.74001,174.25999,176.56999
1272979800,175.8,176.37,170.95,174.39
1273066200,172.89999,175.50999,169.06,172.85999
1273152600,172.92,177.17,169.04999,174.59
1273239000,174.81,176.14999,169.71999,171.87999
1273498200,172.28,177.02,172.28,176.67999
1273584600,177.86,186.38,177.84999,184.25
1273671000,184.88,189.17999,184.87,186.06
1273757400,185.97,186.84,182.14999,182.75999
1273843800,183.39,185.64999,178.64,183.79999
1274103000,183.75,183.78999,177.31,179.95999
1274189400,180.28999,181.85001,177.29999,178.75
1274275800,177.56,177.56,167.95,172.53
1274362200,172.03,172.03999,163.78,164.81999
1274448600,164.39,167.85001,161.98999,166.10999
1274707800,166.75999,169.97,165.95,166.06
1274794200,165.78999,171.52,164.45999,171.2
1274880600,172.48,175.86,170.56,170.73999
1274967000,170.98,176.16,170.96999,175.59999
1275053400,175.53999,175.74001,172.78999,173.92999
1275399000,173.7,177.97,173.00999,173.01999
1275485400,173.53999,177.13,172.75999,177.03
1275571800,176.92999,177.25,170.92,173.21001
1275658200,172.2,172.7,168.42,169.06
1275917400,169.06,174.91,167.5,172.25
1276003800,172.62,177.39,172.62,174.56
1276090200,174.62,175.85001,171.69,172.42999
1276176600,172.78,175.81,172.59,175
1276263000,174.94,176.16,174.47,175.31
1276522200,175.88,176.22,172.38,172.64999
1276608600,172.84,177.00999,172.84,176.95
1276695000,176.62,179.87,176.12,178.71001
1276781400,179.23,183.14999,179.23,182.38
1276867800,183.32001,186.24001,183.32001,185.62
1277127000,186.98,187.2,180.57001,181.60001
1277213400,181.74001,183.39,179.45,179.75
1277299800,179.7,181.03999,176.53,180.21001
1277386200,180.09,181.89,178.41,178.67
1277472600,179.22,186.60001,179.2,185.12
1277731800,184.99001,187.17,181.75,183.11
1277818200,181.83,181.88,176.73,177.89999
1277904600,177.7,180.36,177.25999,177.63
1277991000,177.25999,177.52,167.23,169.88
1278077400,170.47,172.7,168.85001,169.75999
1278423000,171.31,172.10001,166.78999,168.37
1278509400,168.61,173.09,167.39999,173.09
1278595800,173.31,173.78999,168.45,170.88
1278682200,171.05,176.8,171.03,175.09
1278941400,174.50999,176.13,172.53999,173.73
1279027800,174.53999,177.71001,173.82001,174.03
1279114200,173.89999,176.38,172.44,173.78999
1279200600,174.03,174.3,170.96001,173.06
1279287000,172.73,172.73,166.89999,167.39
1279546200,167.10001,167.21001,162.7,165.25
1279632600,165.03,169.69,164.57001,169.08
1279719000,171.06,172.3,167.71001,168.69
1279805400,169.62,174.14999,169.62,172.34
1279891800,172.39,174.22,171.81,173.42
1280151000,173.49001,174.19,171.2,171.82001
1280237400,171.55,171.56,164.75,166.25
1280323800,165.77,167.78999,165.27,166.78
1280410200,167.23,169.44,166.02,167.55
1280496600,167.09,170.24001,166.94,169.72
1280755800,170.64,172.48,169.07001,170.19
1280842200,170.10001,171.97,169.84,170.25
1280928600,170.72,174.44,170.72,173.91
1281015000,173.78999,173.95,172.11,173.8
1281101400,173.64999,177.8,173.64999,175.49001
1281360600,175.82001,175.89,173.45,175.42
1281447000,174.55,175.92999,171.58,175.27
1281533400,174.25999,174.55,170.14,170.72
1281619800,171.13,174.78999,171.02,174.14
1281706200,173.87,174.36,172.03,172.39999
1281965400,172.89,175.64,172.77,174.99001
1282051800,175.11,178.45,175.10001,177.38
1282138200,177.14999,181.31,175.38,180.84
1282224600,180.92,182.62,177.69,179.28999
1282311000,178.74001,178.74001,175.14999,178.13
1282570200,178.37,178.37,175.31,175.84
1282656600,174.03999,175.92,171.62,173.16
1282743000,173.25,177.67999,172.86,177.39
1282829400,178.03999,181.11,178.02,180.38
1282915800,180.77,184.14,178.62,184.14
1283175000,184.09,185.14,182.75,182.86
1283261400,183.10001,187.71001,183.10001,185.14999
1283347800,186.02,187.62,183.81,184.25999
1283434200,184.39999,186.89999,183.69,186.41
1283520600,185.98,186.89,184.37,186.81
1283866200,186.48,189.36,186.48,187.37
1283952600,187.59,189.72,186.81,186.82001
1284039000,187,187.39,182.64999,183.49001
1284125400,183.37,186.17,182.61,185.2
1284384600,185.82001,187.33,185.03,185.63
1284471000,186.42,193.21001,186.42,190.7
1284557400,190.56,191.39999,188.94,190.25999
1284643800,190.84,193.92,190.84,192.83
1284730200,193.39999,194.11,191.45,191.67999
1284989400,192.11,195.92,192.11,194.35001
1285075800,194.14,195.88,189.33,195.58
1285162200,196.64999,199.33,196.57001,197.89
1285248600,197.74001,198.74001,194.72,196.42
1285335000,197.25,199.56,196.27,197.08
1285594200,197.31,197.64,195.25999,195.52
1285680600,195.11,199.77,192.02,199.31
1285767000,199.37,200.32001,197.64999,198.94
1285853400,199.03999,199.55,193.75,196.96001
1285939800,197.94,201.21001,197.94,200.25999
1286199000,199.87,199.87,195.42,196.77
1286285400,198.37,204.45,198.32001,202.88
1286371800,203.2,207.55,203.2,206.78999
1286458200,207.11,207.32001,198.97,201.3
1286544600,201.61,205.33,201.61,204.82001
1286803800,204.7,206.49001,202.53999,204.94
1286890200,204.72,204.73,200.57001,204.17999
1286976600,205.42999,210.82001,205.42999,209.64
1287063000,209.59,210.62,207.39,208.36
1287149400,208.14,208.21001,204.23,206.06
1287408600,205.13,205.89,202.37,204.95
1287495000,203.56,205.89,193.91,195.42999
1287581400,195.8,200.37,195.78,198.78999
1287667800,198.86,201.78,194.3,196.48
1287754200,196.53999,196.85001,194.06,196.82001
1288013400,198.35001,202.02,198.32001,199.62
1288099800,199.17999,201.38,196.96001,200.41
1288186200,200.11,200.11,193.39999,196.53
1288272600,196.7,202.57001,196.7,201.60001
1288359000,201.85001,205.07001,201.75,204.3
1288618200,205.10001,206.57001,202.95,204.86
1288704600,205.24001,207.19,204.78999,206.31
1288791000,206.2,206.24001,200.85001,204.5
1288877400,206.17,214.46001,206.17,214.11
1288963800,213.82001,217.78999,213.09,214.91
1289226600,214.66,220.61,214.03999,220.17
1289313000,221.98,227.08,212.42,214.37
1289399400,215.06,219.69,212.39999,219.60001
1289485800,219.67,222.16,217.63,222.03
1289572200,221.60001,221.60001,213.21001,216.10001
1289831400,216.39,216.87,212.63,212.84
1289917800,212.53999,212.55,204.60001,206.73
1290004200,206.5,210.64,206.09,207.19
1290090600,209.25,213.33,209.25,210.78999
1290177000,210.63,212.89,208.72,212.37
1290436200,211.88,215.21001,210.64999,214.73
1290522600,213.58,214.42999,211.14,212.5
1290609000,213.31,214.71001,212.32001,213.50999
1290781800,212.55,212.58,208.75,209.78999
1291041000,209.23,211.32001,205.88,210.8
1291127400,210.98,215.57001,210.5,213.17
1291213800,214.56,217.69,213.62,217.47
1291300200,217.58,222.33,217.58,220.83
1291386600,221.03999,226.89,221.02,225.27
1291645800,225.3,229.19,225.28999,228.75999
1291732200,229.3,232.72,224.96001,225.17999
1291818600,224.91,225.00999,219.19,220.45
1291905000,220.89999,223.37,220.82001,222.21001
1291991400,222.17,223.96001,219.99001,223.45
