observation_time,outcome_time,target_kind,target_price,reached,bars_to_outcome,distance_to_target,percent_to_target,mfe,mae
2025-12-15 19:00:00,2025-12-16 11:00:00,New York High,25409.0,True,193,38.75,100.0,38.75,-297.0
2025-12-15 19:05:00,2025-12-16 11:00:00,New York High,25409.0,True,193,40.0,100.0,40.0,-295.75
2025-12-15 19:10:00,2025-12-15 19:30:00,Asia High,25317.5,True,7,42.75,100.0,43.25,-4.25
2025-12-15 19:15:00,2025-12-15 19:30:00,Asia High,25317.5,True,7,43.0,100.0,43.5,-4.0
2025-12-15 19:20:00,2025-12-15 19:30:00,Asia High,25317.5,True,7,36.5,100.0,37.0,-1.5
2025-12-15 19:25:00,2025-12-15 19:30:00,Asia High,25317.5,True,7,23.75,100.0,24.25,-2.5
2025-12-15 19:30:00,2025-12-15 19:35:00,Asia High,25317.5,True,8,0.25,100.0,16.75,-7.0
2025-12-15 19:35:00,2025-12-15 19:40:00,Asia High,25317.5,True,9,5.0,100.0,11.5,-3.25
2025-12-15 19:40:00,2025-12-15 19:45:00,Asia High,25317.5,True,10,5.0,100.0,22.25,0.0
2025-12-15 19:45:00,2025-12-15 20:00:00,Asia High,25317.5,True,13,17.0,100.0,17.0,-20.25
2025-12-15 19:50:00,2025-12-15 20:00:00,Asia High,25317.5,True,13,19.0,100.0,19.0,-3.75
2025-12-15 19:55:00,2025-12-15 20:00:00,Asia High,25317.5,True,13,11.25,100.0,11.25,-11.5
2025-12-15 20:00:00,2025-12-16 08:15:00,Asia High,25317.5,True,160,13.0,100.0,15.75,-231.25
2025-12-15 20:05:00,2025-12-16 08:15:00,Asia High,25317.5,True,160,43.5,100.0,46.25,-200.75
2025-12-15 20:10:00,2025-12-16 08:15:00,Asia High,25317.5,True,160,49.5,100.0,52.25,-194.75
2025-12-15 20:15:00,2025-12-15 21:00:00,Swing Low,25239.75,True,25,19.75,100.0,29.0,-34.75
2025-12-15 20:20:00,2025-12-15 21:00:00,Swing Low,25239.75,True,25,34.75,100.0,44.0,-19.75
2025-12-15 20:25:00,2025-12-16 08:15:00,Asia High,25317.5,True,160,34.25,100.0,37.0,-210.0
2025-12-15 20:30:00,2025-12-16 08:00:00,Swing High,25294.25,True,157,15.25,100.0,16.25,-205.75
2025-12-15 20:35:00,2025-12-15 21:00:00,Swing Low,25239.75,True,25,22.0,100.0,31.25,-20.25
2025-12-15 20:40:00,2025-12-16 08:00:00,Swing High,25294.25,True,157,24.5,100.0,25.5,-196.5
2025-12-15 20:45:00,2025-12-15 21:00:00,Swing Low,25239.75,True,25,25.75,100.0,35.0,-4.5
2025-12-15 20:50:00,2025-12-15 21:00:00,Swing Low,25239.75,True,25,13.0,100.0,22.25,-2.25
2025-12-15 20:55:00,2025-12-15 21:00:00,Swing Low,25239.75,True,25,12.75,100.0,22.0,-1.25
2025-12-15 21:00:00,2025-12-15 21:05:00,Swing Low,25239.75,True,26,2.0,100.0,4.75,-13.5
2025-12-15 21:05:00,2025-12-15 21:10:00,Swing Low,25239.75,True,27,9.25,100.0,9.75,-13.75
2025-12-15 21:10:00,2025-12-15 21:30:00,Swing Low,25239.75,True,31,5.5,100.0,32.25,-14.5
2025-12-15 21:15:00,2025-12-15 21:30:00,Swing Low,25239.75,True,31,9.0,100.0,35.75,-10.0
2025-12-15 21:20:00,2025-12-15 21:30:00,Swing Low,25239.75,True,31,7.5,100.0,34.25,-4.5
2025-12-15 21:25:00,2025-12-15 21:30:00,Swing Low,25239.75,True,31,3.5,100.0,30.25,-8.0
2025-12-15 21:30:00,2025-12-16 05:10:00,Swing Low,25230.5,True,123,17.5,100.0,18.5,-139.75
2025-12-15 21:35:00,2025-12-15 23:30:00,Asia Low,25103.5,True,55,26.0,100.0,26.0,-55.0
2025-12-15 21:40:00,2025-12-15 23:30:00,Swing Low,25112.5,True,55,10.0,100.0,19.0,-62.0
2025-12-15 21:45:00,2025-12-15 23:30:00,Swing Low,25112.5,True,55,14.5,100.0,23.5,-57.5
2025-12-15 21:50:00,2025-12-15 22:10:00,Swing High,25166.75,True,39,8.25,100.0,12.0,-32.5
2025-12-15 21:55:00,2025-12-15 22:10:00,Swing High,25166.75,True,39,13.75,100.0,17.5,-27.0
2025-12-15 22:00:00,2025-12-15 23:25:00,Swing Low,25126.0,True,54,9.5,100.0,17.25,-49.0
2025-12-15 22:05:00,2025-12-15 22:10:00,Swing High,25166.75,True,39,19.25,100.0,23.0,-2.75
2025-12-15 22:10:00,2025-12-15 22:15:00,Swing High,25166.75,True,40,1.25,100.0,3.25,-12.0
2025-12-15 22:15:00,2025-12-15 22:25:00,Swing High,25166.75,True,42,4.75,100.0,22.5,-8.75
2025-12-15 22:20:00,2025-12-15 22:25:00,Swing High,25166.75,True,42,10.0,100.0,27.75,-2.75
2025-12-15 22:25:00,2025-12-15 22:30:00,New York Low,25171.75,True,43,4.75,100.0,20.5,-2.5
2025-12-15 22:30:00,2025-12-15 22:45:00,Swing High,25166.75,True,46,4.5,100.0,11.0,-24.75
2025-12-15 22:35:00,2025-12-15 22:45:00,Swing High,25166.75,True,46,14.0,100.0,20.5,-15.25
2025-12-15 22:40:00,2025-12-15 22:45:00,Swing High,25166.75,True,46,2.25,100.0,8.75,-3.25
2025-12-15 22:45:00,2025-12-15 22:50:00,Swing High,25166.75,True,47,0.0,100.0,3.0,-13.0
2025-12-15 22:50:00,2025-12-15 23:50:00,Swing High,25166.75,True,59,7.0,100.0,9.25,-56.25
2025-12-15 22:55:00,2025-12-15 23:10:00,Swing Low,25137.5,True,51,12.25,100.0,21.75,-16.0
2025-12-15 23:00:00,2025-12-15 23:50:00,Swing High,25166.75,True,59,6.0,100.0,8.25,-57.25
2025-12-15 23:05:00,2025-12-15 23:50:00,Swing High,25166.75,True,59,10.75,100.0,13.0,-52.5
2025-12-15 23:10:00,2025-12-15 23:15:00,Swing Low,25137.5,True,52,0.0,100.0,8.0,-3.5
2025-12-15 23:15:00,2025-12-15 23:25:00,Swing Low,25137.5,True,54,6.25,100.0,25.5,-4.25
2025-12-15 23:20:00,2025-12-15 23:25:00,Swing Low,25137.5,True,54,3.0,100.0,22.25,-0.25
